mid,standard_question,standard_answer
108,已知某家庭财产保险的损失额 \( X \) 服从形状参数α=4.0，速率参数λ=2.5的伽玛分布。求每次事故损失额超过1个单位的概率。 （结果保留4位小数）,0.7576
109,"Summary statistics for the annual loss ratios for a portfolio of property insurance policies over an 18-year period, \( L_i \), are 
\[\sum_{i=1}^{18} L_i = 1.44\] 
\[\sum_{i=1}^{18} L_i^2 = 0.2376\] 
A 95% confidence interval for the mean loss ratio is constructed using the normal approximation with a 2 standard deviation multiplier. 
Calculate the lower bound of the confidence interval. (The final answer should have 2 decimal places)",0.04
110,一个35岁被保险人投保的10年延期终身生存年金，年初生存给付为1，趸缴保费为\( P \)。若被保险人在10年内死亡，保险公司将在死亡年末退还趸缴保费\( P \)按年实质利率\( i = 0.025 \)复利累积至死亡年末的值。已知第9年年末的责任准备金为16，且生存年金在45岁开始给付（记为\( \ddot{a}_{45} \))，求\( P \)。（结果保留2位小数）,12.81
111,"You are checking gross premium policy values for a fully discrete whole life insurance of 1000 on (45).
\( {}_{k}V \) denotes the gross premium policy value at the end of year \( k,k = 0,1,2,\ldots \).
The valuation assumptions were intended to include:
i) There are commissions and maintenance expenses payable at the beginning of the year
ii) There is a fixed policy fee of 5 payable at the beginning of each year
iii) There are no other expenses
iv) \( {q}_{53} = {0.003} \)
v) \( i = {0.05} \)
You discover that all intended assumptions were used correctly, except that calculations were based on \( {q}_{53} = {0.004} \).
The calculated results included \( {}_{8}V = {86.74} \) and \( {}_{9}V = {100} \).
Calculate \( {}_{8}V \) using the intended value of \( {q}_{53} \). (The final answer should have 2 decimal places)",85.88
112,"In health insurance, the number of critical illness claims (excluding zero claims) follows a zero-truncated Poisson distribution with parameter \( \lambda = 0.8 \). Using the probability generating function (PGF) for this distribution calculate the third raw moment of the claim count distribution. (The final answer should have 4 decimal places)",5.8692
113,李工程师为筹备创业启动金，计划每季末向信用合作社存款1000元，15年后一次性提取。已知信用合作社采用年名义利率4.909%，按季度复利结算利息。则该年金在全部提取时的积累值为多少元？（结果保留2位小数）,87916.96
114,"假设某寿险产品的保单失效次数流量三角形数据如表1所示：

表1 已报案保单失效次数数据 单位：件

| 事故年 | 进展年0 | 进展年1 | 进展年2 | 进展年3 | 进展年4 |
| :----- | :------ | :------ | :------ | :------ | :------ |
| 2010 | 387 | 819 | 63 | 38 | 18 |
| 2011 | 361 | 666 | 70 | 27 | |
| 2012 | 475 | 880 | 83 | | |
| 2013 | 519 | 1013 | | | |
| 2014 | 565 | | | | |

则2014年总共的失效次数为多少？（采用原始加权平均法选取相关比率）（结果保留整数）",1834
115,"Several months ago, an investor sold 100 units of a one-year European call option on a nondividend-paying stock. She immediately delta-hedged the commitment with shares of the stock, but has not ever re-balanced her portfolio. She now decides to close out all positions.
You are given the following information
(i) The risk-free interest rate is constant.
(ii)

| | Several months ago | Now |
| ----------------------- | --------------- | ---- |
| Stock price | $40.00 | $50.00 |
| Call option price | $9.12 | $14.72 |
| Put option price | $1.87 | $0.56 |
| Call option delta | 0.800 | |

The put option in the table above is a European option on the same stock and with the same strike price and expiration date as the call option.
Calculate her profit. (The final answer should have 2 decimal places.)",24.13
116,如果某风险中性测度下一年期折现因子为 \(\mathbf{0.90}\)，求投资 \(\mathbf{83}\) 天的未定权益收益。（结果保留4位小数）,0.0242
117,"Losses from maritime collisions in 2017 follow a distribution with density function 
\[f\left( x\right) = \frac{1}{\textbf{600,000}}\left( {1 - \frac{x}{\textbf{1,200,000}}}\right) \quad \text{for} \quad 0 \leq x \leq \textbf{1,200,000}.\] 
Reinsurance covers the excess of each loss above 120,000. In 2018, all losses experience 10% inflation. 
Let \( \mathrm{LER}_{2017} \) denote the reinsurance loss elimination ratio for 2017, and \( \mathrm{LER}_{2018} \) for 2018. 
Compute \( \mathrm{LER}_{2017} - \mathrm{LER}_{2018} \). (The final answer must be rounded to 5 decimal places.)",0.02231
118,在养老金精算中，某退休计划从时间0到时间1连续发放生存年金，年金的支付率在时刻$t$为$\mu_{t}=\mathbf{2.5} t + \mathbf{1.5}$，利息力为$\delta_{t}=\mathbf{0.05} t + \mathbf{0.03}$，请计算此年金在时间零的精算现值。（结果保留2位小数）,2.68
119,"在一个多减因养老金模型中，员工可能因退休、死亡或离职而退出计划。已知： 
(1) 年龄 \( x \) 岁的员工在 \( t \) 年内的留存概率 \( {}_{t}p_{x}^{(\tau)} = 1 - 0.03t \), \( 0 \leq t \leq 1 \); 
(2) 退休力 \( \mu_{x+t}^{(1)} = 0.02t \), \( 0 \leq t \leq 1 \); 
(3) 总减因力等于各原因减因力之和。 
试计算退休的中心减因力 \( m_{x}^{(1)} \)。（结果保留5位小数）",0.00995
120,"Company ABC issued a fully discrete three-year term insurance of 1000 on Pat whose stated age at issue was 40. You are given

(i)
| $x$ | $q_{x}$ |
| --- | --- |
| 40 | 0.015 |
| 41 | 0.03 |
| 42 | 0.045 |
| 43 | 0.06 |

(ii) $i=0.04$

(iii) Premiums are determined using the equivalence principle and are payable at the beginning of each year.

During year 3, Company ABC discovers that Pat was really 41 when the insurance was issued. Using the equivalence principle, Company ABC adjusts the death benefit to the level death benefit it should have been at issue, given the premium charged.
Calculate the adjusted death benefit. (The final answer should have 1 decimal places)",664.3
121,"已知某保险公司每月基础损失（单位：百万美元）服从均匀分布 $[0,1]$。精算师使用以下均匀随机数模拟未来15个月的总损失，并应用中心极限定理计算标准化后的总损失值（服从 $\mathrm{N}(0,1)$ 分布）以评估极端风险：
$\mathrm{u}_{1}=0.7295, ~ \mathrm{u}_{2}=0.5437, ~ \mathrm{u}_{3}=0.4649, ~ \mathrm{u}_{4}=0.6305, ~ \mathrm{u}_{5}=0.5618$
$\mathrm{u}_{6}=0.9602, \mathrm{u}_{7}=0.9057, \mathrm{u}_{8}=0.8799, \mathrm{u}_{9}=0.0198, \mathrm{u}_{10}=0.938$
$\mathrm{u}_{11}=0.5462$ ， $\mathrm{u}_{12}=0.3021, ~ \mathrm{u}_{13}=0.7659$ ， $\mathrm{u}_{14}=0.6768, ~ \mathrm{u}_{15}=0.3209$.
则标准化总损失值为多少？ （结果保留3位小数）",1.562
122,"You are given the following data from a study of 6 electronic component failure times. The failure time is assumed to follow an exponential distribution with mean $\theta$.

| Failure Time | Modification |
| :---: | :---: |
| 200 | None |
| 500 | None |
| 800 | None |
| 750 | Left-truncated at 50 |
| 1050 | Left-truncated at 150 |
| 1700 | Censored at 1700 |

Estimate the standard deviation of $\hat{\theta}$ using Cramer-Rao lower bound. (The final answer should have 2 decimal places)",429.30
123,一项永续债券每年末支付利息 1 元，年实际收益率为 5.999%，试计算该债券的修正凸度（定义式为 \( C = \frac{P''(i)}{P(i)} \)）。（结果保留2小数）,555.74
124,"对于一个三元风险模型，在常数力假设下，已知：
\[{q}_{85}^{\left( 1\right) } = {0.25},\; {q}_{85}^{\left( 2\right) } = {0.30},\; {q}_{85}^{\left( 3\right) } = {0.20}\]
求仅因减因1退出的独立生存概率 \( {p}^{\prime }{}_{85}^{\left( 1\right) } \)。（结果保留2位小数）",0.63
125,"In a professional liability insurance policy, legal claim settlements follow a lognormal distribution with parameters \( \mu = 10, \sigma = 1 \). For each claim settlement amount not exceeding 60,000, the insurer makes no indemnity payment. For each claim settlement amount greater than 60,000, the insurer pays the entire settlement amount, subject to a maximum covered amount of 170,000. Determine the expected indemnity payment per claim settlement. (The final answer must be an integer)",16226
126,"The ASW Company offers retiree pension benefits. Retirement can occur at ages $62,63,64$, or 65. ASW funds the benefits using a pro-rata method where benefits are accrued linearly based on years of service, with reserves adjusted at interest rate $i$ and divided by persistency probability $p$.

Michael joined ASW at age 34, and is currently age 46. You are given:
(i) The probability Michael will stay with the company for one year is 0.95
(ii) \( i = 0.04 \)
(iii) The normal cost for Michael for the next year is 2700

Years of service are defined as current age minus age at joining. Assume Michael stays with the company for one year. Calculate the normal cost for Michael for the year starting with his 47th birthday.(The final answer should have 2 decimal places)",2955.79
127,某企业设立一项投资基金，初始投入 10000 元，基金按每年计息两次的年名义利率 $6 \%$ 增长。企业在第 5 年末提取 5000 元用于投资回报分配，第 15 年末提取 11600 元用于投资回报分配，第 25 年末提取剩余部分用于投资回报分配。计算第 3 次提取金额的利息部分为多少元。 （结果保留整数）,2936
128,"An endowment fund is established to provide monthly grants of \$6000 at the beginning of each month, starting exactly 25 years from today. Contributions of \$X are made monthly to the fund for 25 years, beginning immediately. The fund earns a nominal annual interest rate of 8\%, compounded monthly. Each \$1000 in the fund at the start date provides \$19.30 of monthly grant income at the beginning of each month. Calculate \( X \). (The final answer should have 2 decimal places)",324.72
129,"On an insurance coverage, only one claim per year per insured can be submitted. You have the following experience on this coverage

| Year | Number of insureds | Number of claims |
|-------|-------------------|------------------|
| 2005 | 200 | 8 |
| 2006 | 250 | 15 |
| 2007A | 100 | 10 |
| 2007B | 50 | 5 |
| 2008 | 200 | 18 |

In 2007, due to a system upgrade, the policies were recorded in two separate groups (2007A and 2007B). The probability of a claim in a year using maximum likelihood is 0.07. Test the fit using the chi-square test. Calculate the chi-square statistic. (The final answer should have 4 decimal places).",6.4516
130,"下列数据为某保险公司的一份四年期保险产品的统计表，该产品起始有50名投保人，投保人一旦退保（无论原因）即永久退出，无法继续后续年度，且每位投保人的状态转换相互独立。每一保单年度的状态概率如下表所示。

| 保单年度 | 因健康原因退保(j = 1) | 其他原因退保(j = 2) | 续保(j = 3) |
|----------|-----------------------|---------------------|-------------|
| 1        | 0.05                  | 0.15                | 0.80        |
| 2        | 0.05                  | 0.10                | 0.85        |
| 3        | 0.03                  | 0.07                | 0.90        |
| 4        | 0.00                  | 0.05                | 0.95        |

试求：四年保险期间因健康原因退保人数的方差等于多少？（结果保留整数）",5
131,某账户在2010年1月1日有一笔存款，4月1日取走50元，7月1日存入100元，9月1日存入30元，到了2011年1月1日，账户内金额为1051元。假设基金收益率按复利计算，年利率为1.12%，各次存取款金额从操作发生日起至2011年1月1日按实际月份数计算复利。则2010年1月1日的存款为多少元? （结果保留整数）,960
132,一笔期限为4年的设备融资贷款，年实际利率为12%，借款人用偿债基金法偿还，偿债基金利率为8%且允许负储蓄（不足利息的差额部分按8%利率累积）。借款人每年末支付的总金额依次为1000元、1000元、10000元、10000元。求贷款本金。（结果保留整数）,15075
133,对于(x)两年期的两全保险，保险金额为 1000 ，已知： 首年保费为 668 ，次年保费为 267， \( d = \mathbf{0.05} \) 。其等价的均衡纯保费为多少。（结果保留整数）,479
134,"对于一个新组装的工业机械部件，采用三年选择期的选择一终极失效表，已知：
- 终极失效表数据：\( l_4 = 8200,\ l_6 = 9000 \)
- \( q_{[0]} = \frac{1}{5} \)
- \( {}_5p_{[1]} = \frac{4}{5} \)
- \( {}_3p_{[0]+1} = \frac{82}{90} \cdot {}_3p_{[1]} \)
（选择期结束后使用终极表计算存活概率）
求 \( l_{[0]} \) 的值。（结果保留整数）",15434
135,"For a whole life critical illness insurance of 1000 issued to (70), with benefit payable at the end of the year of diagnosis: 
(i) Morbidity follows the table below: 
\[ 
\begin{array}{c|c} 
x & l_x \\ \hline 
70 & 100,000.0 \\ 
80 & 81,197.2 \\ 
\end{array} 
\] 
(ii) \( i = \left\{ \begin{array}{ll} 0 & t \leq {10} \\ {0.05} & t > {10} \end{array}\right. \). 
(iii) For age 80, the actuarial present value of a whole life critical illness insurance of 1 is 0.60984 under \( i = 5\% \). 
Calculate the expected present value of the insurance. (The final answer should have two decimal places)",683.21
136,25 年期企业设备融资贷款，利率为每年计息 12 次的年名义利率 8.69%， 按月等额偿还。求现金流的修正期限（以月为单位）。 （结果保留1位小数）,99.9
137,已知二元风险模型：\( {q}_{x}^{(1)} = 0.02 \)，\( {q}_{x}^{(2)} = 0.05 \)。假设在每一年龄内每个减因的退出力为常数，则\( {q}_{x}^{\prime(1)} \)的值为多少？（结果保留4位小数）,0.0205
138,某大型再保险公司为升级其巨灾建模系统获得30年期可调利率资本融资贷款67350元，采用等额本息偿还方式。首年度年化利率为7%，次年起年化利率上调至9%。计算第二年起每月还款额的增量。（结果保留2位小数）,91.78
139,"对于被保人年龄为 \((x)\) 岁的一份 3 年期意外伤害保险单，已知年利率 \(i = 0.025\)，意外事故发生率 \(q_{x+k} = 0.03(k + 1)\)，\(k = 0, 1, 2\)，表示在保单年度末发生意外事故的概率。保险金在事故发生的年度末给付，保险公司承担 80% 的赔付责任，各年基础赔付额如表 3-5 所示。假设 \(z\) 是赔付现值随机变量，则 \(E(z)\) 等于多少？（结果保留2位小数）

表 3-5: 各年基础赔付额
| \(k\) | \(b_{k+1}\) |
|:---:|:---:|
| 0 | 250000 |
| 1 | 375000 |
| 2 | 500000 |",52953.43
140,已知某健康保险产品的医疗费用支出服从参数为 $\mu=7.2，~ \sigma=1.8$ 的对数正态分布，那么费用在 460元到 61000元之间的索赔在全部索赔中占的比例为多少。（结果保留4位小数）,0.7054
141,"You have the following data for losses on a home liability coverage:

<table><tr><td>Claim Size</td><td>Number of Claims</td></tr><tr><td>0-1000</td><td>23</td></tr><tr><td>1000- 2000</td><td>16</td></tr><tr><td>2000- 5000</td><td>6</td></tr><tr><td>5000-10,000</td><td>5</td></tr></table>

Assume that claim sizes are uniformly distributed within each interval.
You are pricing another coverage that has a deductible of 500 and a reinsurance contract that caps the insurer's loss at 10,000 per occurrence.
Estimate the variance of payment per payment on this coverage.(The final answer must be an integer.)",7720965
142,"A trust fund with an initial value of 20,000 makes annual distributions at the end of each year. The fund earns an annual effective interest rate of 6.5%. Each distribution consists of the interest earned and an additional 1000 of principal, so that the fund is fully distributed by the end of the 20th year. 
The beneficiary deposits all distributions received into Fund K, which earns an annual effective rate of 8.25%. Calculate the accumulated value of Fund K at the end of the 20th year. (The final answer must be an integer)",86902
143,保险公司A的一款养老保险金账户按半年复利计息，年名义利率为7.5%。保险公司B的一款养老保险金账户采用按季度复贴现的方式确定现金价值。若两款产品的实际年收益率相同，试计算保险公司B的养老保险金账户的年名义贴现率。（答案保留五位小数）,0.07295
144,"现年 76 岁的李某在 2 年前购买了人寿保险, 已知选择 - 终极生命表如下表所示
选择一终极生命表
| 选择表 | 选择表 | 选择表 | 选择表 | 选择表 | 选择表 | 终极表 | 终极表 |
|--------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
| $[x]$ | $q_{[x]}$ | $q_{[x]+1}$| $q_{[x]+2}$| $q_{[x]+3}$ | $q_{[x]+4}$ | $q_{x+5}$ | $x+5$ |
| 74 | 0.0249 | 0.0354 | 0.0507 | 0.0620 | 0.0714 | 0.0781 | 79 |
| 75 | 0.0273 | 0.0387 | 0.0489 | 0.0607 | 0.0742 | 0.0855 | 80 |
| 76 | 0.0298 | 0.0424 | 0.0535 | 0.0664 | 0.0812 | 0.0936 | 81 |

求李某活过80岁的概率。（结果保留4位小数）",0.7623
145,"\( T \) is the time-to-failure random variable for an industrial machine. A warranty pays 1000 at the moment of failure if failure occurs in an interval \((k, k+1)\) where \(k\) is an odd integer. Otherwise no benefit is paid. You are given: 
(i) The failure rate is constant: \( \lambda(t) = 0.04 \) for all \( t \geq 0 \). 
(ii) The force of interest is \( \delta = 0.02 \). 

Calculate the expected present value of the warranty. 
(The final answer should have 2 decimal places)",323.33
146,"You are given:
(i) The net premium reserve at time 2 for a fully discrete 10-year endowment insurance of 1 on (40) is 0.0200.
(ii) The net premium reserve at time 2 for a semicontinuous 10-year endowment insurance of 1 on (40) is 0.0203.
(iii) $i=0.05$
(iv) Deaths are uniformly distributed between integral ages.
Calculate the net premium reserve at time 2 for a semicontinuous 10-year term insurance of 1 on (40). (The final answer should have 6 decimal places)",0.012398
147,"You are given the following double-decrement model for policyholders in a health insurance plan:
(i)

| $x$ | $q_{x}^{(1)}$ | $q_{x}^{(2)}$ |
| :---: | :---: | :---: |
| 21 | 0.008 | 0.15 |
| 22 | 0.015 | 0.20 |
| 23 | 0.0254| 0.25 |

(ii) $q_{x}^{(1)}$ denotes the probability of decrement due to achieving a premium discount status.
(iii) $q_{x}^{(2)}$ denotes the probability of decrement due to all other causes.
(iv) Decrements occur at the end of the year.

You are also given:
(i) After achieving premium discount status, the only decrement is mortality.
(ii) After achieving premium discount status, $\boldsymbol{\mu=0.05}$.

Calculate the probability that a policyholder, now age 21, will be living and holding premium discount status three years later. (The final answer should have 3 decimal places)",0.036
148,"You are given
(i) A homeowners insurance coverage has a $500$ deductible and a policy limit of $1000$.
(ii) The number of paid claims follows a negative binomial distribution with parameters \( r = 0.5 \) and \( \beta = 0.4 \).
(iii) Ground-up Loss sizes follow a single-parameter Pareto distribution with parameters \( \theta = 200 \) and \( \alpha = 1 \).
Determine the deductible needed in order to reduce the variance of paid claim counts to $0.2$.(The final answer should have 2 decimal places)",653.11
149,"For whole life critical illness insurances of 1000 on (70) and (71): 
(i) Benefits are payable at the end of the year of diagnosis. 
(ii) The discount rate is $\frac{1}{11}$  for 2011 and $\frac{6}{106}$  for 2012 and thereafter. 
(iii) The annual incidence rates are $q_{70}=0.010$ and $q_{71}=0.012$. 
(iv) The expected present value on December $31^{\text{st }} 2010$ of the insurance on (71) is 300. 
Calculate the expected present value on December $31^{\text{st }} 2010$ of the insurance on (70). (The final answer should have 2 decimal places)",289.28
150,"某养老保险产品的现金流如下表所示（年数=实际天数/365，保费缴纳为负，养老金给付为正），计算使保费缴纳现值与养老金给付现值相等的币值加权收益率。（结果保留两位小数）

养老保险产品的现金流 单位：万元

| | A | B | C | D | E | F |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | 时间 | 保费缴纳 | 养老金给付 | 资金净流入 | 距离合同生效日的天数 | 距离合同生效日的年数 |
| 2 | 2023/1/10 | 20 | | －20 | 0 | 0 |
| 3 | 2023/2/17 | 30 | | －30 | 38 | 0.1041 |
| 4 | 2023/3/25 | | 25 | 25 | 74 | 0.2027 |
| 5 | 2023/5/31 | | 20 | 20 | 141 | 0.3863 |
| 6 | 2023/7/14 | | 5 | 5 | 185 | 0.5068 |",0.04
151,"For a fully discrete ten-year endowment insurance of 1 on (x), you are given:
(i) The full preliminary term reserve at time 6 is 0.25.
(ii) The net premium past duration 1 under the full preliminary term method is 0.05.
(iii) \( d = 0.06 \)
(iv) \( q_{x + 5} = 0.01 \).
Calculate the level net premium reserve at time 4 for a similar nine-year endowment insurance of 1000 on \( (x + 1) \).
(The final answer should have 2 decimal places)",192.05
152,"A company aims to accumulate \$69,709 in a reserve fund to cover future liabilities at the end of 25 years. The company contributes \$100 at the end of each month for the first 120 months. For the subsequent 180 months, it contributes \$100 + \$x at the end of each month. The fund earns interest at an annual effective rate of 3.66\%. Determine \( x \). (The final answer should have 2 decimal places)",88.86
153,"You are given the following information about a 20-year financial lease: 
i. The leased asset has an initial value of 8,000 and the lease rate is 6.94% per annum paid semiannually. 
ii. The upfront payment results in an annual nominal yield rate of 5.3% convertible semiannually. 
iii. The amount for amortization of premium in the fourth lease payment is 28.31. 
Calculate the residual value of the asset. (Note: The residual value may differ from the initial value.) (The final answer must be an integer)",7664
154,已知某终身重大疾病保险的离散型现值 \( {A}_{85} = {0.885301} \)，年利率 \( i = {0.06} \)，调整因子 \( \alpha(\infty) = {1.000283} \) 和 \( \beta(\infty) = {0.509855} \)。假设疾病发生均匀分布，计算完全连续保费 \( \bar{P}\left( {\bar{A}}_{85}\right) \)。（结果保留3位小数）,0.601
155,"已知死亡在各个年龄中均匀分布，且满足：
\[ i = \mathbf{0.05}, \delta = \mathbf{0.0488}, {}_n E_x = \mathbf{0.7}, \bar{A}_{x:\overline{n}|} = \mathbf{0.766} \]
则 \( 1000P(\bar{A}_{x:\overline{n}|}) \)等于多少？（结果保留整数）",155
156,"已知某融资租赁协议，租赁资产价值100,000元，租期10年，每月末等额支付租金，年名义利率为6%，按月复利计息。则在支付50次租金后的租赁负债余额为多少元？（结果保留2位小数）",65434.84
157,"一个60岁的火星殖民者购买一个15年期的生存年金，趸交保费为21715元，年利率为7%，年金支付从购买后第一年末开始，每年年末支付一次，共支付15年。根据以下生命表，求每年年金支付额。（结果保留2位小数） 
生命表： 
| 年龄 | \( l_x \) | 
|------|----------| 
| 60   | 100000   | 
| 61   | 100000   | 
| 62   | 100000   | 
| 63   | 100000   | 
| 64   | 100000   | 
| 65   | 100000   | 
| 66   | 100000   | 
| 67   | 100000   | 
| 68   | 100000   | 
| 69   | 100000   | 
| 70   | 100000   | 
| 71   | 100000   | 
| 72   | 100000   | 
| 73   | 100000   | 
| 74   | 100000   |",2384.19
158,"An insurance company insures a portfolio of commercial properties categorized into three fire safety ratings: Class X (low hazard), Class Y (medium hazard), and Class Z (high hazard). Half of the properties are Class X. Properties of Class Y are twice as likely as those of Class Z.

The annual fire damage losses on the properties have the following severity distributions:

| Annual Loss | Probability for Class X | Probability for Class Y | Probability for Class Z |
|-------------|--------------------------|-----------------------------|---------------------------|
| 0 | 0.56 | 0.1 | 0.0 |
| 1,000 | 0.15 | 0.2 | 0.0 |
| 2,000 | 0.10 | 0.00 | 0.00 |
| 5,000 | 0.19 | 0.4 | 0.6 |
| 20,000 | 0.00 | 0.2 | 0.3 |
| 100,000 | 0.00 | 0.1 | 0.1 |

A randomly selected property experienced annual fire damage losses of 5,000 in Year 1 and 1,000 in Year 2.
To estimate the annual fire damage loss in Year 3 for this property, Actuary A employs Bühlmann credibility whereas Actuary B applies Bayesian credibility.
Calculate the estimate under Actuary A's approach. (The final answer should have 3 decimal places)",7736.478
159,"新加坡银行同业拆借利率(SIBOR)如下，利率为年化单利，按实际天数/365计算利息（表中数值单位为百分数）：

| 期限 | 利率 |
|------------|------|
| 隔夜(1天) | 11.25|
| 2天 | 11.50|
| 7天 | 11.50|
| 30天 | 11.00|
| 90天 | 10.75|

计算本金1,000元，期限为一周（7天）的本息累积额。 （结果保留2位小数）",1002.21
160,"A pension fund has a liability of 150,000 to be funded over 10 years with quarterly contributions of 5483.36 at the end of each quarter, earning interest at 8% compounded quarterly. After 12 contributions, the interest rate dropped to 6% compounded quarterly, and the quarterly contribution was recalculated to amortize the unfunded liability over the remaining term at the new interest rate. After 20 contributions in total, the interest rate on the liability increased to 7% compounded quarterly. The pension fund decided to make an additional contribution of \(X\) at the time of its 20th contribution. After the additional contribution was made, the new quarterly contribution was calculated to be 4265.73, payable for five more years. Determine \(X\).(The final answer must be an integer)",16691
161,"For a fully discrete whole life insurance policy of 2000 on (45), you are given:
(i) The gross premium is calculated using the equivalence principle.
(ii) Expenses, payable at the beginning of the year, are:

| | % of Premium | Per 1000 | Per Policy |
| :--- | :---: | :---: | :---: |
| First year | 25% | 3.0 | 27 |
| Renewal years | 5% | 1.0 | 9 |

(iii) Mortality follows the Illustrative Life Table.
(iv) \(i=0.06\).

Calculate the expense reserve at the end of policy year 10.(The final answer should have 2 decimal places)",-26.77
162,"An insurance company issues a 20-year annuity-immediate with a single premium of 74,200. The annuity provides level end-of-month payments. The annual nominal interest rate used is 8%, convertible monthly. Immediately after the 72nd payment is made, the interest rate is changed to an annual nominal rate of 6%, convertible monthly, and the payment is recalculated for the remaining term without changing the maturity date. Calculate the new end-of-month payment. (The final answer should have 2 decimal places)",551.72
163,"一家制造企业需在2011年1月1日预留10,000元的环境污染清理准备金。为筹集资金，该企业计划从2000年1月1日到2010年1月1日（含）每年年初向准备金账户存入相等金额。若账户年实际收益率为4%，则每年年初应存入多少元？ （结果保留2位小数）",712.97
164,An insurance company issues 5000 dental care insurance policies. The number of claims filed by a policyholder under a dental care insurance policy during one year is a Poisson random variable with mean 0.5. Assume the numbers of claims filed by different policyholders are mutually independent. Calculate the approximate probability that there is a total of between 2450 and 2600 claims during a one-year period? (The final answer should have 4 decimal places).,0.8185
165,"A fully discrete 3-year critical illness insurance on (65) provides a lump sum benefit of 50,000 upon diagnosis of a covered critical illness. You are given the following profit test assumptions: 
(i) The incidence rate is \( q_{65+t} = 0.015 + 0.001 t \) for \( t \geq 0 \). 
(ii) \( i = 0.05 \). 
(iii) The gross premium of 1500 is paid at the beginning of the first 2 years only. 
(iv) Initial expenses, treated as if they are paid at the end of year 0, are \( 40\% \) of premium plus 50. 
(v) Renewal expenses, payable at the beginning of every year except the first, are \( 5\% \) of premium plus 10. 
(vi) The reserves are \( _{1} V = 500 \), \( _{2} V = 1000 \). 
Calculate the NPV at risk discount rate \( 10\% \). 
(The final answer should have 2 decimal places)",-25.15
166,"For a fully discrete whole life insurance of 10,000 on (50), you are given:
(i) Premiums are paid at the beginning of each year. Commissions are 80% of the first year premium and 10% of subsequent premiums. There are no other expenses.
(ii) Mortality follows the Standard Ultimate Life Table, where \( A_{50} = 0.15161 \) and \( \ddot{a}_{50} = 17.8162 \).
(iii) \( i = 0.05 \).
(iv) \( {}_{0}L \) denotes the loss at issue random variable.
(v) If \( T_{\textbf{50}} = 10.5 \), then \( {}_{0}L = 4953 \).

Calculate \( \mathrm{E}\left[{}_{0}L\right] \).(The final answer should have 2 decimal places)",-400.87
167,"You are given the following survival table for a colony of insects in a laboratory study:

| Age (days) | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 
|------------|---|---|---|---|---|---|---|---| 
| Number alive | 200 | 184 | 156 | 116 | 84 | 52 | 20 | 0 | 

Based on the uniform distribution of deaths assumption, $_{1.2|0.7}q_{0.3} = a$.

Based on the constant force of mortality assumption, $_{1.2|0.7}q_{0.3} = b$.

Calculate $|a - b|$. (The final answer should have 4 decimal places)",0.0021
168,"You use the following information to determine a rate change for a health insurance portfolio. 
(i) 

| Diagnosis Year | Earned Premium at Current Rates | Incurred Claims | Weight Given to Diagnosis Year | 
| :---: | :---: | :---: | :---: | 
| DY9 | 4252 | 2260 | 40% | 
| DY10 | 5765 | 2610 | 60% | 

(ii) Medical Cost Trend Factor: 7% per annum effective 
(iii) Claim Development Factor (to Ultimate): 

DY9: 1.08 
DY10: 1.18 

(iv) Permissible Claim Ratio: 0.657 
(v) All policies are one-year policies, are issued uniformly through the year (average treatment date occurs 6 months after policy effective date), and rates will be in effect for one year. 
(vi) Proposed Effective Date: July 1, CY11. 

Explicit instruction: Apply claim development factors first, then trend adjustment. 

Calculate the required portfolio-wide rate change. 
(The final answer should have 4 decimal places)",-0.0133
169,在非寿险精算中，某保险索赔当前估计损失为60元。损失额从第1年末起每年增长8%。前5年不进行任何赔款支付，第6年末起每年支付当年损失额的40%作为赔款。若精算师使用年折现率15%，则该索赔的现值为多少元？（结果保留2位小数）,250.46
170,"A pension fund receives a contribution of 121 at the beginning of each 5-year period for 40 years. The fund earns interest at an annual effective interest rate of \( i \). The accumulated amount in the fund at the end of 40 years is \( X \), which is 5 times the accumulated amount in the fund at the end of 20 years. Calculate \( X \). (The final answer must be an integer)",6197
171,某疾病监测系统追踪12名潜在感染者，其中9名未出现症状，3名已确诊感染。第一次医学筛查时随机抽取3名进行检测，检测后的个体视为已感染并放回人群。第二次医学筛查时再随机抽取3名。则第二次抽到的均为未感染者，且第一次抽到1名未感染者的概率是多少？（结果保留4位小数）,0.2143
172,某养老基金账户在年初有初始资金1个单位。在4月末收到新缴费0.5个单位，6月末支付福利金0.1个单位，8月末再次支付福利金0.2个单位。到年底，账户积累值为1.5个单位。则该基金的美元加权收益率为多少？（答案保留4位小数）,0.2466
173,"一份完全离散型均衡缴费10年的20年期关键设备保修保险，面向初始使用年限25年的设备。保单规定：若设备在保修期内发生故障，则保险人在故障发生的年末给付维修补偿金，且补偿金额等于故障年末的纯保费准备金；若设备无故障运行到保修期满，则保险人给付的无故障奖金为1000元。设年利率为\(6\%\)。已知风险概率表部分数据如下： 

| x | q_x | 
|----|----------| 
| 25 | 0.0010 | 
| 26 | 0.0015 | 
| 27 | 0.0020 | 
| ... | ... | 
| 44 | 0.0200 | 

求第5年年末的纯保费准备金\(_5V\)。（结果保留2位小数）",238.83
