mid,type,standard_question,standard_answer,is_order
235,MCQ,"甲国星光公司（成立于2018年，主营智能设备制造，注册地位于甲国首都T市工业园3号楼）与中国A市的美华公司（注册地址为A市高新开发区创业大厦1608室，主营跨境电商平台运营）于2023年9月5日签订《跨境设备采购协议》。该日上午10时许，A市天气多云转晴，微风温度25℃，双方在美华公司会议室（面积约60平米，墙面悬挂山水画，配有胡桃木会议桌和米色布艺座椅）签署主合同，约定合同纠纷由甲国S市法院适用《中华人民共和国民事诉讼法》解决。合同文本使用蓝色封皮，共12页，用红色回形针固定，由双方代表张伟（星光公司国际业务部经理，35岁，爱好摄影）和王芳（美华公司采购总监，穿浅灰色雪纺连衣裙，佩戴浪琴腕表）签字确认。次日下午3时，双方在A市万豪酒店咖啡厅（装修风格为现代工业风，播放轻音乐）达成补充协议，经见证人李强（酒店大堂副理，穿黑色西装）现场见证，使用酒店提供的万宝龙钢笔签署文件。补充协议约定合同纠纷除了可以向甲国S市法院诉讼外，还可向中国A市仲裁委员会申请仲裁，但须适用甲国国际仲裁中心规则。后双方因设备验收标准发生纠纷，根据我国相关法律和司法解释，关于该纠纷解决方式，下列哪些判断是正确的？
A.可由甲国S市法院适用《中华人民共和国民事诉讼法》解决
B.可由甲国S市法院适用甲国民事诉讼规则解决
C.可由中国A市仲裁委员会适用甲国国际仲裁中心仲裁规则解决
D.可由中国A市仲裁委员会适用自己的仲裁规则解决",B,NO
239,QA,某市交通局行政审批科科员周正阳（男，38岁，本科学历，籍贯豫南省平州市，性格严谨，业余爱好收集邮票和登山）于2018年3月12日（星期一）上午10时，在某市行政服务中心三楼东侧办事大厅（装修风格采用浅灰色调大理石墙面，地面铺设米色防滑瓷砖，窗口配备银色金属叫号机），身着深蓝色涤纶制服并佩戴工号牌，使用黑色联想牌笔记本电脑为注册地位于该市高新区的甲公司（主营冷链物流业务）核发为期5年的道路运输经营许可证。当时正值春光明媚，窗外梧桐树新芽初绽。该许可证依据当年《道路运输管理实施细则》颁发，有效期至2023年3月11日，许可证编号为DY-2018-0372，打印在一张带有浅绿色底纹的A4纸上。2023年5月20日，修订后的新规章增设道路运输经营企业必须配备至少10辆新能源车辆的要求，甲公司法定代表人王志强（男，45岁，大专学历，业余喜欢钓鱼）在办公室内踱步时接到通知，其公司仅有的8辆柴油货车不符合新规。交通局法制科副科长刘慧（女，40岁，佩戴银色细框眼镜）在制作《行政许可撤回决定书》（该文书共5页，采用宋体小四号字打印，于2023年5月22日在交通局204会议室加盖公章，见证人为档案管理员赵磊）时，注意到甲公司2019年提交的《车辆年检报告》中夹带过一张便利店收银小票。撤回决定作出后，周正阳曾向同事感叹：”上次去东郊登山时还路过他们的物流仓库“。根据《行政许可法》的规定，甲公司的许可证被撤回后，交通局还应履行什么法定程序？,注销,NO
243,MCQ,"为进一步推动政务公开，提升政府治理透明度，某省出台了一系列政府信息公开相关举措。2025年6月12日上午，该省政府办公厅信息公开科科员陈芳，因政务公开周临近正在加班整理文件，正用黑色签字笔在《政府信息公开指南》上勾画重点。关于政府信息公开的方式和程序，以下说法正确的是？
A.江林省规定政府信息公开法定设立的场所包括省图书馆、市档案馆等，方便公众查阅
B.甲行政机关在履职过程中获取的由乙行政机关制作的政府信息，按照相关规定，由制作的乙行政机关负责公开
C.申请人既可以书面形式，也可以通过政府指定的线上平台以口头形式申请获取政府信息
D.申请政府信息公开时，申请人除了提供身份证明外，还需提交详细的申请用途说明",A,NO
246,MCQ,"某市基层法院在受理案件时，对各类纠纷的诉讼类型展开甄别。请根据民事诉讼法及相关理论判断，下列哪些纠纷属于法院应当受理的确认之诉：
A.恒远建材有限公司（注册地春江市高新开发区）向法院起诉鸿达物流集团（总部位于临海市港务大厦18层），主张其2019年3月签订的《砂石运输合同》项下拖欠的200万元货款已超过诉讼时效，请求确认债务效力消灭
B.迅捷科技有限公司（法定代表人周文涛，45岁）向法院申请确认其与通达商贸公司于2024年5月20日在春江市白云宾馆308会议室签订的《项目合作协议》中第7.3条仲裁条款无效，以便直接向法院起诉
C.春江市公交公司退休职工王建国（63岁，高中学历）诉个体经营者王建军（35岁，经营春江老街""建军烟酒行""），请求法院确认二人不存在生物学父子关系，以解决遗产继承争议
D.林某（常住春江市金鼎国际小区7栋1202室）向法院起诉，要求解除其与张某（春江市服装批发市场商户）签订的为期3年的商铺租赁合同，理由是张某擅自将原定经营女装的门店改为24小时便利店
E.钱某（春江市第一中学数学教师）起诉孙某（美团外卖骑手），请求确认孙某持有的春江市梧桐街道阳光小区5栋301室房屋产权证系伪造，以维护自身房产权益
F.甲医疗器械公司（注册资本5000万元）起诉乙生物科技公司（办公地点春江市创业园B座9层），请求确认双方2023年8月签署的《纳米医疗技术转让合同》有效，并责令乙公司履行交付技术资料的义务
G.李某（春江市出租车司机）起诉某三甲医院（春江市人民医院），请求确认医院在2024年9月15日的阑尾炎手术诊疗过程中存在过错，为医疗损害赔偿诉讼做准备
H.周某（春江市星光幼儿园保育员）起诉郑某（顺丰快递春江分部快递员），请求确认二人2020年6月1日在春江市滨江区民政局婚姻登记处（装修风格为暖色调，设有红色爱心背景墙）办理的婚姻关系自始无效，因郑某登记时实际年龄为19周岁未达法定婚龄",C H,NO
248,QA,"龙州市的A公司（法定代表人张伟，35岁，本科学历，籍贯龙州市郊县，性格沉稳，业余喜欢研究机械模型）与海州市的B公司（技术总监李芳，40岁，硕士学历，籍贯海州市东湖区，爱好登山健身）于2024年5月12日星期天下午3点签订购销合同。签约当天龙州市天气多云，A公司三楼会议室（现代工业风装修，配有蓝色玻璃幕墙和黑色皮质沙发）内，张伟身着深蓝色棉质西装搭配灰条纹领带，用华为Mate60手机核对合同条款。合同全称为《工业冶炼炉定制协议》（共15页，装订在黑色文件夹内），签订地点为龙州市白云宾馆308会议室，见证人为龙州正大律师事务所律师王强，交付过程通过顺丰快递完成。张伟在签字前抬手整理领口，对李芳说：""这次合作要是顺利，咱们年底都能超额完成业绩指标。""李芳调整金丝眼镜回应：""设备调试阶段正好赶上雨季，得提前做好防潮预案。""张伟心想若能按时交付设备，自己就有望晋升区域经理。合同约定由A公司提供参数，B公司备工备料，利用B公司自主研发的冶炼技术制造一台大型工业冶炼炉（高约20米、中径50米，外壳采用宝钢集团生产的耐高温钢板），并按照A公司指定的临江市工业园区3号厂房安装交付。合同补充条款明确B公司须每月5号派技术员（需佩戴橙色安全帽并携带西门子检测仪）进行设备调试，并为A公司操作人员提供为期3天的岗前培训（培训教材使用蓝色封皮装订本）。李芳在合同签署后喷洒了香奈儿五号香水，将签字笔插入米色帆布笔袋。该合同属于哪种类型的合同？",承揽合同,NO
249,MCQ,"南江市平安保险公司保险经纪人李华，35岁，本科学历，籍贯南江市桥西区，性格谨慎细致，业余爱好收集汽车模型。2024年5月12日（周日）下午15时许，南江市天气多云，李华在南江市平安保险公司营业部二楼客户接待室（内部采用现代简约装修风格，墙面为浅灰色乳胶漆，摆放着蓝色布艺沙发和龟背竹绿植）为投保人王芳办理保险业务。李华身着深蓝色涤纶材质西装套装，内搭白色纯棉衬衫，脚穿棕色牛皮乐福鞋，手持黑色晨光牌签字笔，正在白色塑料材质的文件架上整理《重大疾病保险条款说明》（该文件共12页，封面印有保险公司LOGO，于2024年5月10日在营业部打印装订）。办理过程中，李华将华为MatePad平板电脑转向王芳，手指轻点屏幕说道：""您看这份电子保单的特别约定部分需要重点注意""，此时窗外传来洒水车播放的《茉莉花》音乐声。王芳边翻阅边问：""这些免责条款具体指哪些情况？""李华心想这个月已经完成5单业绩，周末可以去新开的卡丁车馆放松下，随即俯身解释：""比如先天性病症就不在保障范围""。根据《保险法》及相关司法解释，关于保险人的提示说明义务，下列说法符合法律规定的是？
A.对保险合同中免除保险人责任的条款，保险人在订立合同时应当对该条款的内容加以提示或者明确说明，否则该条款不产生效力 
B.就上述保险人免责条款的解释说明，可以采用书面形式也可以采用口头形式 
C.通过网络、电话等方式订立的保险合同，保险人可以通过网页、音频、视频等形式对免除保险人责任条款予以提示和明确说明 
D.投保人主张保险人未履行明确说明义务的，应当负举证责任 
E.保险人只需对保险合同中的免责条款进行说明，无需对其他条款进行解释。 
F.保险人对免责条款的提示义务可以委托给保险代理人，但明确说明义务必须由保险人亲自履行。 
G.只要保险人在保险合同中对免责条款进行了加粗加黑等提示，就视为履行了提示说明义务。 
H.保险人对免除保险人责任条款的明确说明义务，只需对条款的概念进行解释即可",B C,NO
250,MCQ,"滨海市35岁男子张某（大专学历，籍贯鲁东省，爱好钓鱼和羽毛球）于2020年9月辞去某事业单位公职后，与42岁的建材经销商李某（性格内向，业余喜欢种植多肉植物）、38岁的会计王某（平时爱穿米色棉质衬衫）共同出资设立B有限责任公司，公司注册地位于滨海市高新科技园区创业大厦16层（办公室采用工业风装修，墙面悬挂抽象派油画）。2023年5月12日星期五下午3时，天气闷热伴有阵雨，张某在创业大厦1608会议室（铺有深灰色地毯，配备棕色皮质沙发）与某科技公司经理赵某（着藏青色涤纶西装）达成协议，约定以120万元转让其股权。张某用黑色派克钢笔签署《股权转让协议书》（共8页，附3份补充条款，在会议室东南角茶几签署，见证人为保洁员周阿姨）。当晚张某通过微信语音告知李某、王某转让事宜，二人均主张优先购买权。张某边整理会议桌上的文件边叹气：“本想用这笔钱在老家盖栋小别墅”，最终取消交易，与赵某产生纠纷。次月18日，张某与李某在滨海市渔人码头露天咖啡厅（装修采用地中海风格，摆放绿植盆栽）达成新协议，以125万元转让股权，李某当场通过手机银行转账支付全款。协议签订时张某身着浅蓝色牛仔夹克配白色运动鞋，李某手持星巴克焦糖玛奇朵咖啡。截至2023年7月案发时，尚未办理股东名册变更及公司登记。经查，张某的出资系挪用其原任职单位2020年6月收取的工程保证金。关于本案，下列哪些说法错误？
A.张某与赵某的股权转让合同有效，赵某可要求继续履行
B.张某用挪用公款出资取得的股权应予以没收
C.张某与李某的股权转让合同有效，李某可主张公司办理股权变更登记
D.李某不能取得转让的股权",A B C,NO
251,QA,"家住汉东省京州市的张三，32岁，大专学历，籍贯汉东省云台县，性格内向，业余爱好打羽毛球和收集邮票。其父亲张大（原京州市公交公司退休司机）于2024年12月5日因突发心梗去世，遗留一套位于京州市朝阳区锦绣花园小区8栋502室的房产（面积89平方米，简欧风格装修，米色墙面配原木色地板，客厅悬挂山水画一幅）。该房产登记在父亲张大名下，张三作为唯一继承人尚未办理继承登记。2025年4月12日星期五下午15时许，天气多云转晴，张三身着深蓝色棉质POLO衫、卡其色休闲裤和白色运动鞋，在小区门口的星巴克咖啡店内，用华为Mate60手机向李四展示房屋照片。因经营奶茶店资金链断裂需偿还28万元债务，张三与从事建材生意的李四签订《不动产买卖协议》（共10页，封面印有烫金楷体字，2025年4月10日在房屋客厅签订，见证人为房产中介王芳，交付过程通过电子邮件发送扫描件）。协议约定将该房屋以200万元出售，张三当场通过工商银行APP收取首付款50万元。次日上午9时，李四佩戴银框眼镜，身穿灰色条纹衬衫，在房屋玄关处调整皮鞋鞋带时催促过户，张三抬手整理衣领回应：""继承登记材料已经交到公证处，下周就能拿到公证书""。期间李四曾提及""打算把阳台改造成茶室""，张三点头道：""过户后你随时可以开工，正好我周末要去羽毛球馆集训""。关于本案，房屋的法定所有权人是谁？",张三,NO
252,MCQ,"东州市个体经营户李某，42岁，高中学历，籍贯东州市长宁县，性格温和，业余爱好钓鱼。2023年5月12日星期五下午15时许，李某经营的位于东州市青枫路78号的“便利家”超市因处于“东州市轨道交通六号线”市政工程规划范围内，被列入征收范围。当日东州市天气多云转晴，气温26℃，李某身着深蓝色棉质夹克、灰色休闲裤和棕色运动鞋，携带黑色帆布公文包（内装华为手机及晨光牌红色圆珠笔），步行至东州市政务服务中心（建筑外立面为玻璃幕墙，大厅内设有蓝色等候座椅和绿植装饰）。在二楼信息公开窗口排队时，李某抬手擦去额头的汗珠，对工作人员王芳说：“麻烦查下这个规划文件，我开超市不容易，得了解清楚情况。”王芳回应需要三个工作日核查。李某心想如果拿不到文件，可能影响与征收办的协商谈判。次日李某通过中国邮政EMS（单号：ET123456789CN）向东州市自然资源和规划局寄送普通信件申请公开工程详细规划文件，该局于5月15日10时签收。6月2日，该局在印有单位徽标的A4纸上作出书面回复称申请信息不存在。李某收到回复后，于2023年6月20日在“便利家”超市后仓（墙面贴有世界地图和员工排班表）通过手机登录省政府网站提交行政复议申请，后因不服复议结果，向东州市中级人民法院（审判大楼前有12级花岗岩台阶）提起诉讼。根据上述材料，下列说法错误的是？
A.李某需对该项政府信息的存在承担举证责任。
B.以市自然资源和规划局签收时间为收到申请的时间。
C.李某应当向市政府申请行政复议。
D.该市自然资源和规划局可要求李某就申请公开该政府信息的特殊需要事由作出说明。
E.行政复议机关应当自受理申请之日起60日内作出行政复议决定。
F.法院审理行政诉讼时，应对市自然资源和规划局答复的合法性进行审查。",A D E,NO
253,MCQ,"某市长河区个体经营户王某，42岁，高中学历，籍贯某市清源县，性格温和，业余爱好钓鱼。2023年5月12日，星期五下午3点20分，该市修建长河跨江大桥时（施工指挥部位于桥东侧，内部墙面为白色乳胶漆，配有金属材质办公桌），施工队长赵强（35岁，身着橙色反光工作服和黑色防滑靴）在指挥挖掘地基过程中，因挖掘机驾驶员操作不慎碰裂了王某祖父存放在祖坟内的深褐色桃木骨灰盒（盒体右下角出现长8cm的轻微裂痕）。施工方发现后，由技术员孙伟使用透明环氧树脂胶进行了修复，修复过程持续约40分钟。王某在次日祭扫时发现痕迹，于2023年5月14日身着深蓝色涤纶夹克和灰色运动裤，手持华为Mate40手机拍摄了修复部位照片，并向法院提交了加盖施工队公章的《骨灰盒修复确认书》（该文书共3页，于2023年5月12日晚7点在施工队办公室签署，见证人为资料员李芳，交付过程为当面签收）。赵强内心认为只要不影响结构就不构成实质损坏，而王某想到祖父临终前紧握自己手的场景情绪激动。王某起诉主张100万元精神损害赔偿的真实动机是维护家族尊严而非经济目的。施工方承认过错但主张修复后不影响使用且未造成严重后果，拒绝赔偿。关于本案，法院应如何处理？
A.裁定不予受理
B.判决驳回诉讼请求
C.法院可以酌情部分支持其诉讼请求
D.能够得到支持",C,NO
254,QA,以下关于未成年人刑事案件审判程序的相关案例中，案例一：某中学初二学生李某（14岁，籍贯江东省青河县）于2024年5月12日晚间8时许，在青河县第三中学操场东南角实施强奸行为，法院对其决定逮捕但应保证其继续接受义务教育；案例二：王某利用辍学少年周某（13岁，身高1.55米）运输甲基苯丙胺17克，周某可以在装有单向玻璃的第三法庭不暴露外貌、声音的条件下出庭作证；案例三：张某在云州市儿童公园旋转木马前猥亵穿6岁女童案，法院于2023年11月28日上午10时在第二询问室询问被害人时，使用黑色索尼牌4K摄像机进行同步录音录像并尽量一次完成；案例四：江南省临海大学学生孙小刚于2023年9月5日下午2时许，在大学城“蜜雪冰城”奶茶店盗窃收银台内现金3200元，法院受理该案时孙某刚满20岁。哪个案例的当事人不应由未成年人刑事案件审判组织审理？,案例四,NO
255,MCQ,"2011年4月8日，时年28岁的佳佳（本科学历，籍贯江州市金水区，性格温和且喜欢收集邮票）通过链万家房产中介，购买了强盛公司开发的位于江州市滨海区海景路88号”金海湾小区“商品房一套。合同约定面积为128平米。2013年5月12日（周日）下午14时，天气多云转晴，强盛公司销售经理王磊在小区物业服务中心交付房屋。住建部门的测绘报告显示该房实际面积为145平米。佳佳发现面积差异后皱眉道：”这比我预想的面积大太多了“，王磊边整理领带边回应：”误差确实超出预期，但我们可以提供解决方案“。佳佳内心盘算着多出的面积虽然能增加居住舒适度，但可能影响原定的装修预算。对于该情形，下列哪些说法是错误的？
A.房屋买卖合同存在重大误解，强盛公司有权请求予以撤销
B.佳佳如在法定期限内起诉请求解除房屋买卖合同，法院应予支持
C.如双方同意房屋买卖合同继续履行，佳佳应按实际面积支付房款
D.如双方同意房屋买卖合同继续履行，佳佳应按合同约定支付房款",A C D,NO
256,QA,汉东省江州市居民甲（32岁，籍贯江州市老城区，高中肄业），患有间歇性精神病，其妻子乙（29岁，高中毕业，家庭主妇，业余爱好养多肉植物）系法定监护人。2024年5月12日周日傍晚6点20分，江州市阴雨连绵，二人到甲父母位于老城区阳光花园小区3栋502室（米色墙面配棕木家具，客厅挂着水墨山水画）吃饭时，因甲父母反复催促生育二胎（乙因经济压力多次拒绝），甲突然情绪失控挥动双立人牌不锈钢菜刀将其父母砍死（实际未当场死亡）。乙身着浅绿色针织衫、灰色运动裤和白色帆布鞋，未制止也未呼救报警，而是关了门走了。甲父母因失血性休克死亡。经司法鉴定确认甲行凶时精神病发作无责任能力。乙的行为构成何种犯罪？,故意杀人罪,NO
257,MCQ,"位于A市高新产业园区成立于2018年的两湖环保科技有限公司（法定代表人陈东，42岁，本科学历，籍贯湖北省黄石市，业余爱好垂钓和围棋），因2023年6月采购的50台工业净水设备存在滤芯变形问题，在A市B区人民法院对三河建材有限公司提起诉讼。案件审理期间正值A市梅雨季节，2023年9月15日周五下午14时20分，三河公司法务经理周伟（37岁，穿深蓝色涤纶西装搭配棕色牛津皮鞋）在B区法院第三法庭（墙面悬挂深棕色木制浮雕法徽，配备智能化庭审系统）参加庭审时未提出管辖权异议。案件经过A市B区人民法院一审、A市中级人民法院二审后生效。2024年5月，A市中院承办法官发现原审卷宗中《质量检测报告》（共28页，封面为红色硬壳装订）数据存在矛盾，遂启动再审，并裁定撤销原判发回重审。2024年8月20日重审首次开庭时，三河公司法代王莉娜（39岁，持华为Mate60手机查看电子文档）以住所地变更为由提出管辖权异议。关于本案，下列说法错误的是？
A.因本案是再审发回重审，故对于当事人提出的管辖权异议不予审查
B.根据管辖权恒定原则，法院对管辖权异议不予审查
C.一审法院管辖权依据因被告住所地变更而不复存在，法院应当对管辖权异议予以审查
D.本案是发回一审法院重审的案件，当事人有权提出管辖权异议，法院应当对异议予以审查",C D,NO
259,QA,江南市某宝网甲图书商城的实际经营者王强，35岁，本科学历，籍贯江南市西塘区，业余爱好爬山和摄影。2024年6月12日星期三下午3点，江南市天气闷热伴有间断性毛毛雨。王强在其位于江南市创新大厦17层的办公室（装修风格为现代简约，墙面悬挂《清明上河图》复制品，实木书架上摆放着绿植和多肉盆栽）内，使用一台深空灰色联想ThinkPad笔记本电脑（购置于2022年9月，九成新），与乙公司业务经理赵磊商议合作事宜。王强身着蓝色棉质POLO衫、米色休闲裤和棕色牛皮凉鞋，期间多次起身整理书架上的《民法典注释本》，双方最终签订《网络推广服务合同》（合同正文8页，附有3份附件，于2024年6月5日在江南市左岸咖啡厅签署，见证人为该店服务员周敏，交付过程通过电子邮件完成）。赵磊推了推金丝眼镜说道：“这次合作成功的话，周末可以去爬青龙山拍云海”。王强边转动黑色晨光中性笔边想：“按照网站的规则，只要销量冲到前五名，就能稳住店铺评级，从而被优先推荐给消费者，省得被电商平台淘汰”。甲图书商城最终通过乙公司组织28名兼职人员，采用虚构交易并邮寄空包裹（使用印有卡通兔子图案的白色快递袋）的方式完成437单虚假交易。在此情形下，甲图书商城和乙公司的行为构成何种不正当竞争行为？,虚假宣传,NO
260,QA,"青年作曲家思思（女，28岁，江南省湖州市人，星海音乐学院作曲系毕业，性格内向，业余爱好收集古典音乐CD和冲泡龙井茶）于2023年9月5日创作完成琴谱《彩云追月》。2024年5月12日星期日下午3点，江南省临安市滨江区创意大厦12楼（内部录音棚采用蓝色吸音墙面和橡木地板装修）内，声速唱片公司使用雅马哈CLP-765型黑色哑光数字钢琴（九成新）将琴谱录制为数字专辑。录制当日天气晴朗，气温26℃，思思身着浅蓝色棉质连衣裙搭配白色帆布鞋，佩戴刻有姓名缩写的银质手链，用右手扶了扶玳瑁框眼镜，左手翻阅着8页的《数字音乐录制与发行协议》（该协议在创意大厦A301会议室签署，见证人为法务专员王丽，电子版合同通过加密邮件交付）。思思心想：""这张专辑的版税收入应该能支付母亲的康复治疗费用""。制作人周涛问道：""数字专辑上线后是否需要增加古筝版本？""思思摇头回应：""保持钢琴原声更契合作品意境。""专辑最终上传至阿里云对象存储OSS平台。现有下列使用行为：（1）甲网络电台在2024年8月7日周二早高峰时段7:45将其编入《晨间音乐茶座》节目播放；（2）乙餐厅（位于临安市西湖文化广场3楼，主打杭帮菜）在工作日晚间用餐时段通过BOSE牌黑色音响循环播放；（3）丙公司拍摄的都市爱情电影《月光恋人》在2025年情人节档期上映时将其作为片尾第3分15秒插曲；（4）丁网络平台""悦听音乐""在VIP会员专区开通24小时点播服务。哪些使用《彩云追月》数字专辑的行为需要征求思思同意并支付报酬，同时不需要经过声速唱片公司同意但要向其支付报酬？",乙餐厅将其作为背景音乐播放,NO
262,MCQ,"英国曼彻斯特籍软件开发者玛丽，32岁，本科学历，业余爱好摄影和登山，性格细致谨慎。2023年5月10日星期三下午3时许，中国深圳市多云天气，玛丽与深圳市云创科技有限公司（注册地位于南山区科技园A栋18层，办公室采用现代简约装修风格，墙面为淡蓝色，会议桌上摆放着发财树绿植）签订《跨境电商平台软件开发合同》（合同正文共20页，附加协议5页，签订地点为公司第三会议室，见证人为公司法务部经理王某，合同交付通过电子邮件完成）。签约当日玛丽身着米色棉质衬衫、深蓝色牛仔裤搭配白色阿迪达斯运动鞋，使用银色苹果MacBook Pro电脑逐条核对合同条款。期间玛丽将鬓角碎发别至耳后，对项目经理周某说：""这个API接口部分的开发周期可能需要再确认下""，同时心想如果能按时完成项目就能参加下月的伦敦摄影展。合同履行过程中，双方因需求变更、交付标准及付款进度产生争议，玛丽遂向合同约定的中国某中级人民法院提起诉讼。中国法院受理后，需依据中国民事诉讼法及相关法律规定，对双方的合同争议进行审理。关于该民事诉讼，下列哪一选项是正确的？
A.玛丽可以向人民法院提交英文书面材料，无需提供中文翻译件。
B.玛丽可以委托任意一位英国出庭律师以公民代理的形式代理诉讼。
C.如玛丽不在中国境内，英国驻华大使馆可以授权本馆官员为玛丽聘请中国律师代理诉讼。
D.如经调解双方当事人达成协议，人民法院已制发调解书，但玛丽要求发给判决书，应予拒绝。
E.玛丽必须亲自到庭参加诉讼，不得委托代理人代为出庭。
F.本案审理应适用英国法律，除非双方另有约定。
G.人民法院送达诉讼文书给玛丽时，只能通过外交途径送达。
H.玛丽对一审判决不服的，上诉期为15日，与中国公民相同。",C,NO
263,MCQ,"家住南江市青河区的张某（32岁，高中文化，籍贯南江市临湖县，爱好钓鱼）与无业人员王某（29岁，左脸颊有陈旧性疤痕）合谋杀害经营健身房的田某（30岁，身高185cm）。计划由张某对田某实施砍杀，王某持枪埋伏于远方暗处，若田某逃跑则伺机射杀。案发当日下午3时许，南江市天气闷热伴有间断蝉鸣，此时王某身穿深蓝色涤纶夹克、藏青色运动裤，携带一支黑色仿制64式手枪，埋伏在仓库东侧50米外的槐树下。田某不知道王某的存在。当田某在仓库内整理哑铃时，张某高喊“今天必须弄死你”并挥刀冲向田某，田某侧身闪避至堆有破旧轮胎的角落，为防止张某的不法侵害，田某开枪射杀张某，子弹与张某擦肩而过，击中远处的王某，致王某死亡（死亡鉴定报告共7页，由南江市公安司法鉴定中心出具，见证人包括辅警周某）。关于本案，下列哪些选项是错误的？
A.田某的行为属于打击错误，依具体符合说，田某对王某的死亡结果没有故意。
B.田某的行为属于对象错误，依法定符合说，田某对王某的死亡结果具有故意。
C.不论采取何种学说，田某对王某都不能构成正当防卫。
D.不论采用何种学说，田某对张某都不构成故意杀人罪未遂。",B C,NO
265,MCQ,"2023年5月12日星期五下午3时许，滨海市松江区某小区停车场发生肢体冲突，32岁的外卖员王强因差评纠纷，在阴雨天气中挥拳击中28岁的幼儿园教师李芳左肩。李芳后退时撞到东侧自动贩卖机致轻伤。检察院对甲某提起公诉，李芳计划提起附带民事诉讼。经滨海市精神卫生中心鉴定，王强案发时处于精神分裂症发病期，属于依法不负刑事责任的精神病人，法院对该案适用强制医疗程序审理。关于本案审理程序，下列哪一说法是错误的？
A.启动强制医疗程序后，王强的身份从被告人转为被申请人
B.启动强制医疗程序后，合议庭成员先宣读对王强的鉴定意见，说明王强可能符合强制医疗的条件
C.启动强制医疗程序前，法院应告知李芳另行提起民事诉讼
D.启动强制医疗程序前，法院判决宣告王强不负刑事责任",A C D,NO
267,MCQ,"28岁的自由职业者甲（本科学历，籍贯江南省滨海市，性格内向，业余爱好玩网络游戏和收集动漫手办）涉嫌网络诈骗。2025年8月12日下午3时许，甲在其租住的滨海市金海区海韵花园小区7栋502室（房屋装修为赛博朋克风格，墙面采用深蓝色涂料，配有霓虹灯管装饰，电脑桌上摆放着雷蛇品牌黑色机械键盘和罗技G502鼠标）实施犯罪行为。期间甲边点击发送诈骗链接边对合租室友王浩说：”今晚点外卖吧，我请客“。该案的500余名被害人通过甲在某网络平台发布的《虚拟货币投资协议》受骗，各被害人在全国各地报案，各被害人受骗的金额不确定。经查，甲实施犯罪是因沉迷网络游戏《剑与远征》购买装备欠下5万元网贷。下列关于该案诉讼程序的表述，不正确的是？
A.应由最先立案的公安机关侦查
B.特定情况下，可以以甲的银行卡接收的资金数额认定犯罪数额
C.情况紧急的，侦查人员可以先冻结甲的账户
D.被害人要求返还被骗钱款的，应当在该案判决后返还",A D,NO
268,MCQ,"河北省青山县大柳树村村民金大勇（25岁，初中学历，未婚，喜欢钓鱼），因涉嫌盗窃罪于2024年5月12日（星期天）下午14时许被当地公安机关逮捕。当日天气多云，室外温度22℃，金大勇作案时身着深蓝色涤纶工作服和磨损严重的黑色胶鞋，翻墙进入同村王富贵家后院牛棚。该牛棚使用红砖砌筑，顶部铺有灰色石棉瓦，内部堆放着三捆干草和两个生锈的铁质饲料槽。金父金满仓（55岁，小学文化，平日爱抽旱烟，性格内向）以务农为生，全家居住在三间旧式土坯房内（屋内墙面有泛黄水渍，家具多为二十年前购置的木质家具），为儿子申请取保候审时，在青山县公安局二楼东侧询问室（墙面悬挂蓝底白字""执法为民""标语，地面铺有米色瓷砖）向办案民警张建国提交了《取保候审申请书》。金满仓搓着粗糙的手掌低声说：""娃就是一时糊涂，家里实在拿不出这么多钱""，同时心想去年玉米收成不好还欠着化肥钱。公安机关要求交纳12万元保证金，金满仓请求减少数额时，右手微微颤抖地从裤兜掏出皱巴巴的记账本，上面记载着家庭年收入不足2万元。经查，金大勇盗窃的是一头价值8000元的3岁黄色本地耕牛，该牛左耳有三角形缺口，作案工具为从自家杂物间取用的半截麻绳。公安机关在确定保证金数额时应当考虑下列哪些情况？
A.当地经济水平落后
B.金和金父靠种地为生且无其他收入，生活贫困
C.金只偷他人一头牛，可能判处的刑罚不重
D.金无前科，社会危险性小，妨碍诉讼可能性小",B C D,NO
