mid,standard_question,standard_answer,type
116,"在一个周三下午的静谧办公室中，主管满怀欣喜地宣布了自己即将升职的好消息，小李立刻加入欢庆的队伍，场面一片热闹。小张随即走向主管，热情洋溢地表达了衷心的祝贺。小张转向小李时说道：“看到咱们团队长久的付出终于得到回报，确实让每个人都精神振奋。”小李立刻回应道：“没错，这种成就正是激励我们每个人的强大动力。”主管感动地感慨道：“衷心感谢各位一路以来的支持，团结便是制胜法宝，让我们共同创造更多辉煌奇迹。”

如果有的话，哪句话在这情境中显得不当？

A. 看到咱们团队长久的付出终于得到回报，确实让每个人都精神振奋。
B. 没错，这种成就正是激励我们每个人的强大动力。
C. 衷心感谢各位一路以来的支持，团结便是制胜法宝，让我们共同创造更多辉煌奇迹。
D. 没有人说了不该说的话。
E. 开心
F. 困惑
G. 生气
H. 沉默",D,MCQ
117,"小明和小刚都非常爱他们的妈妈，她的生日即将来临。正当哥俩沉浸在欢快的嬉闹中时，一个念头不约而同地闪现：得为妈妈筹划一份别出心裁的生日礼物！小明迅速地向小刚递去一个会意的眼神，手指随即精准地指向了墙壁——那里，挂钟的旁边，一幅画静静地展示着：画中的母亲正在欣赏一束盛放的红玫瑰。小明脸上浮现出胸有成竹的微笑。他凑近小刚，低语了几句细语，随后，两个孩子便溜出了房间。殊不知，门后的妈妈早已将这一幕幕尽收眼底。

那么，你觉得母亲亲眼目睹了孩子们这番举动之后，内心会泛起怎样的涟漪，升起怎样的念头呢？

A. 妈妈或许充满疑惑，不禁猜测他们私下在策划什么特别的事情。
B. 妈妈或许感到恼火，因为孩子们没有及时完成分内的家务活。
C. 妈妈也许心头温暖，感慨孩子们日渐成熟，开始拥有自己的小秘密了。
D. 妈妈极有可能喜上眉梢，因为她向来对玫瑰花喜爱有加，而这正是孩子们悄悄筹划的心意。
E. 我认为我们应该改变项目方向，采用更创新的方法。
F. 感谢你的建议，我们会考虑的。
G. 让我们讨论下一个话题。
H. 故事里没有不恰当的句子。",D,MCQ
118,"李娜发现自己的日记不翼而飞，这本日记中记录了她诸多私人信息和内心秘密，让她感到焦虑不已。同时，她注意到教室里有几位同学常常窃窃私语，并投来似笑非笑的目光，这让她怀疑自己正被偷偷嘲笑。然而，事后李娜在自己的储物柜里找到了遗失的日记，而且那些同学并未翻阅过她的日记，更没有嘲笑之意，他们只是在轻松聊天开玩笑罢了。

此时李娜表现出了哪种情绪？

A. 恐惧
B. 内疚
C. 嫉妒
D. 感觉隐私被侵犯
E. 激动
F. 恐慌
G. 骄傲
H. 失望",B,MCQ
119,"在候车大厅的角落里，小张闲逛时偶然发现了一个精致的皮质手袋。这个提包上的标签明确标注着“内含一枚戒指”，小张无法直接查看包内情况，于是他小心翼翼地打开了提包，却诧异发现内部是一条领带，与标签所示内容不符。确认后，他迅速合拢手袋，将其放回原处。紧接着，小王缓步走进候车室，一眼便注意到了这个手提包。那么，手提包内部究竟该是什么呢？

A. 胡椒粉。 
B. 领带。 
C. 戒指。 
D. 杯子。 
E. 遗憾的。 
F. 开心的。 
G. 嫉妒的。 
H. 尴尬的。",C,MCQ
120,"小李所在的学校最近精心策划了一场规模盛大的科学展览，旨在鼓励学生们展现创新才华。然而，性格内向的小李总对在人群中发表讲话感到莫名的焦虑。令人振奋的是，经过严格的评审，他的科学项目从众多作品中脱颖而出，被选入展览会的核心展区。这天下午，老师热情地走近小李，关切地询问道：“小李，你准备好要在众人面前展示你的项目了吗？”小李微微低下头，声音略带犹豫地回答道：“不，我真的不想展示，我还没准备好准备充分。”

小李对老师说的这番话是真的吗？

A. 是的。
B. 不是。
C. 张阿姨，许久未与您相见了，真是令人挂念！
D. 哇，小琳，你的秀发既修长又美丽，格外迷人！
E. 不妨来享用一杯热茶吧，今日天色晴朗宜人，正适合闲聊。
F. 没有不恰当的句子。
G. 这道鱼香肉丝味道实在出色极了，您的厨艺令人钦佩。
H. 多谢夸赞，再忙碌也是值得的，只愿每位宾客都尽兴而归。",B,MCQ
121,"为了这场至关重要的演讲，林悦付出了几个月的精心筹备和不懈努力。当她满怀期待地踏上舞台，准备展示自己的成果时，却惊讶地发现台下仅有的几位观众散落在偌大的观众席上，显得格外稀疏。正常情况下，面对如此冷淡的场面，林悦理应感到失落和沮丧，但出人意料的是，她脸上洋溢着激动的神情，甚至还带着一丝兴奋的光芒。那么，究竟是什么原因让林悦在这般情境下反而显得如此振奋呢？
 
A. 林悦意识到观众稀少反而减轻了演讲压力，使她能够更自然地发挥，从而心生兴奋。 
B. 观众席中正坐着林悦的竞争对手，她因此兴奋于这个难得的机会，准备在演讲中充分证明自己的能力。 
C. 原来这是一次秘密举办的专家会议，台下就座的全是林悦仰慕已久的顶尖学者，令她倍感欣喜。 
D. 台下寥寥数位观众均是她竞争对手的忠实支持者，林悦正兴奋地希望通过这场演讲赢得他们的认可与尊重。 
E. 晓琴对此毫不介意，她推测琪琪可能仅仅是恰巧路过此地。 
F. 晓琴心情紧张而又充满期待，正热切地等待即将到来的约会。 
G. 晓琴暗自猜想琪琪或许还对冬冬存有旧情，因此心中生出了一丝忧虑。 
H. 晓琴感到十分困惑，完全弄不清冬冬与琪琪之间曾经发生的种种情况。",C,MCQ
122,"李明和赵刚是多年的老同学。临近同学聚会，赵刚热情地邀请李明参加，然而李明心里记挂着曾经与某些同学发生的争执，实在不愿再相见。他并未明说缘由，只是婉拒道：“抱歉啊，这次碰巧那会儿有事，实在抽不开身。”

赵刚希望能说动李明参加聚会，他该怎么说服李明呢？

A. 明哥，当年那事儿说白了就是个误会，时过境迁了，你其实真没必要太往心里去。
B. 明哥，没关系，你看咱们换一天成不？等你方便的时候？大伙儿都特别想当面和你说声好久不见呢。
C. 明哥，这次聚会，大家都非常期待你能来，连之前和你有点儿小摩擦的孙六，事后也挺过意不去的，特别希望能当面和你聊聊，大家找个机会聚聚多好啊。
D. 明哥，你听说了没？咱们班的班花这次确定要来，就是大家当年都偷偷喜欢的那个，你好久没见着她了吧？要不，也来聚聚？
E. 如果我吃不到冰淇淋，我就会难受。
F. 哥，我会吃得很小心的，我保证不会弄得到处都是。
G. 我之前做了很多好事，哥能不能就当是对我的奖励，考虑一下。
H. 哥，我就吃一点点，就一点点，求求你了，哥。",C,MCQ
123,"平安夜，纷飞的雪花点缀着街道，小张一路小跑回到温暖的家中，心中满溢着与家人共度圣诞节的期待。她一进门就闻到厨房飘来的诱人香气，原来是妈妈正在灶台前忙碌地准备着节日晚餐。客厅里，爸爸则专注地坐在沙发上，小心翼翼地用彩纸包装着惊喜。小张雀跃地对父母说：“爸爸、妈妈，我们今晚能交换礼物，然后把圣诞树点亮吗？”爸爸听了，微笑着放下手中的礼物，温和地回应道：“当然可以，小张。庆祝圣诞节确实是一种有趣的体验。” 于是，一家人开心地围拢在一起，挂上闪亮的彩灯和漂亮的装饰球，共同为圣诞树装扮，也为即将到来的温馨夜晚做准备。看着眼前流光溢彩的景象，小张忍不住赞叹：“天哪，这感觉真是太有趣啦！”

如果有不合适的话语，哪句话不合适呢？

A. 爸爸、妈妈，我们今晚能交换礼物，然后把圣诞树点亮吗？
B. 当然可以，小张。庆祝圣诞节确实是一种有趣的体验。
C. 天哪，这感觉真是太有趣啦！
D. 没有不合适的句子。
E. 不知道。
F. 当然可以，小张。庆祝圣诞节向来是个欢乐的时刻。
G. 哇，这感觉实在太好玩啦！
H. 没有什么比和家人一起庆祝圣诞节更令人兴奋的了。",D,MCQ
124,"赵太太与丈夫及长辈同住，家庭经济优渥、关系和睦。在结婚纪念日之际，深情的丈夫精心筹备了一份浪漫厚礼：一次三天两夜的海滨之旅。当这份饱含爱意的海滨度假计划呈现在赵太太面前时，她最可能的反应是什么？

A. 雀跃万分。
B. 惊喜万分。
C. 惊慌失措。
D. 失望透顶。
E. 怒气冲冲。
F. 饥肠辘辘。
G. 发呆出神。
H. 可爱迷人。",B,MCQ
125,"某个星期五的早晨，阳光柔和地洒在学校门口的小路上，小李和小张在这里偶然相遇。小张满脸期待地说：“今天下午我要参加一场篮球比赛，你打算来现场助威吗？”小李立刻记起小张的比赛计划，便热情洋溢地回答：“当然啦，我肯定会到场为你加油助威的！”小张听后喜笑颜开地回应：“太棒啦，这份心意我真心感谢！”之后，请思考在这个对话中，如果有不合适的句子，会是哪一句？

A. 今天下午我要参加一场篮球比赛，你打算来现场助威吗？ 
B. 当然啦，我肯定会到场为你加油助威的！ 
C. 太棒啦，这份心意我真心感谢！ 
D. 没有不合适的句子。 
E. 我在考虑，或许我们可以一同参与多样活动，例如外出旅行或者…… 
F. 或者规划其他更远期的安排。 
G. 我们应该从身边小事开始，先尽情享受当下的美好时光。 
H. 没错，我会努力实现的。",D,MCQ
126,"在紧张的办公室环境中，小王、小赵和小孙共同面对着项目截止日期的巨大压力。小赵总是勤奋加班，渴望获得经理的认可；与之相对，小孙时常提前下班，提交的任务质量总是不尽如人意。这天，经理突然走进办公室，小赵见状立刻埋头忙碌起来，小孙则随手拿起手机，伪装成接听工作电话的模样。小王全程默默观察了这一幕，他扫了一眼手表后，便悄然继续专注于手头的工作。稍后，小赵向经理提交了进度汇报，经理审阅报告后微微点头，目光随即转向佯装忙碌的小孙，却最终一言不发地离开了现场。小王似乎心中有所触动，欲言又止，只得深吸一口气，再次投入工作。

经理看着小孙却不说话，原因是什么？
 
A. 经理只是在客观地核查每位员工的工作状态。 
B. 经理对小孙的工作表现非常不满。 
C. 经理不愿打扰小孙的当前工作节奏。 
D. 经理和小孙之间藏有难以言喻的秘密。 
E. 我在想，我们可以一起做很多事情，比如去旅行或者…… 
F. 或者其他更长远的生活规划。 
G. 我们可以从琐碎细节做起，先好好珍惜共处的时光。 
H. 没有任何不恰当的表述出现。",B,MCQ
127,"姐姐小敏最近频繁注意到，她的妹妹小萱常常在没有提前告知的情况下，就私自穿走她的衣物，这令小敏感到十分困扰。为了让小萱停止这一行为，小敏决心采取一种温柔的方式来劝说妹妹。那么，小敏该如何巧妙地劝说小萱呢？

A. 或许我们可以一起去商场挑选新衣服，这样大家都能拥有个人专属的衣橱和喜欢的服装。
B. 小萱，你是不是对自己的衣服样式不太满意，所以才会总想借穿我的衣物呢。
C. 小萱，我们可以设置一个每周固定的服装交换日，在那天，你就能从我的衣柜里挑选任何你想试穿的服饰。
D. 如果你有想借穿我衣服的念头，完全可以事先咨询我，我通常都会乐意为同意的。
E. 爷爷当时显得相当困惑，对此事显得完全摸不着头脑。
F. 由于宇轩对他展现出体贴和关怀，爷爷的内心感到由衷的欣喜。
G. 爷爷略感担忧，他似乎观察到宇轩与雅琴在围绕子女问题发生激烈争执。
H. 爷爷正满怀期待地等待着，他认为宇轩可能会带给他一个令人振奋的好消息。",D,MCQ
128,"小吴与张姐是相识多年的老友。小吴的职业是医生，日常在河南省的一所医院工作，张姐则定居于厦门。恰逢春节假期，小吴前往厦门观光旅游。一个早晨，张姐通过微信发出询问：“吴医生，你今日是否放号？还接诊吗？”
 
张姐此言的真实意图是什么？
 
A. 张姐意图了解小吴今天可否抽空会面。 
B. 张姐想打听小吴此刻是否在河南的医院坐诊。 
C. 张姐自觉身体不适，期盼小吴为她诊疗。 
D. 张姐想询问小吴的行医生涯进展是否顺畅。 
E. 手提包。 
F. 柜子。 
G. 储物柜。 
H. 橱柜。",A,MCQ
129,"小红一直热切地盼望能与男友携手观赏一部电影。然而，高昂的电影票价令她心生犹豫，不舍得支出这笔费用。恰巧，她的好友小张慷慨地赠予她两张电影票，这部新上映的作品正是一部令人紧张窒息的恐怖片。随后，小红的姐姐热情地邀请她结伴同行，小红却委婉地推辞道：“我不确定自己是否腾得出空余时间，因此这次就暂不参与了。”

小红明明极度渴望观看电影，可为何婉拒了这次机会呢？

A. 因为她对影院里幽暗的环境感到极度不适。
B. 因为她更倾向于单独观影，不愿与姐姐结伴。
C. 由于她近段时间事务缠身，实在抽不出空闲。
D. 基于她对影片中惊悚情节怀有深刻的恐惧。
E. 记得我们以往时常结伴聆听音乐会，那段时间你正为事务奔波忙碌。
F. 没错，光阴如白驹过隙般飞逝而过。
G. 从你步入婚姻殿堂迄今已有三年了吧？生活是否顺遂呢。
H. 没有不恰当的句子。",D,MCQ
130,"林悦与陈宇协作参与了一项创业计划，其中陈宇荣膺最佳创业者奖，该项目还斩获了一等奖桂冠。在项目启动阶段，林悦呕心沥血、付出巨大努力，不幸因过度投入导致健康问题，致使后期未能持续贡献太多。她满怀喜悦地对陈宇表示：“我真为你开心，你实至名归，恭喜获得这份荣誉！”陈宇仅回应了感谢之情。然而，林悦却向密友小慧倾吐心事：“我的心情特别郁结。”

为何林悦声称自己情绪既欢欣又烦闷呢？

A. 她因陈宇斩获最佳创业者奖而开心，却由于自身与奖项失之交臂而滋生烦闷
B. 她为自己参与的创业项目赢得一等奖而喜悦，且全然不会因此感到烦闷
C. 她因创业项目荣膺一等奖而欢欣，但由于个人付出未能获得肯定而产生烦闷
D. 她为陈宇获得认可而开心，却因陈宇忽视其贡献、未表感谢而备感郁结
E. 他为李阳喜获奖项而开心，但由于李阳未能认可其付出而深感失望
F. 他为辩论队取得竞赛胜利而欢欣，但自身的努力未获得应有回报
G. 他为李阳获奖而心花怒放，却因自己未能得奖而心生失望
H. 他为辩论队赢取比赛而高兴，但因李阳未对其贡献表示认可而陷入沮丧",C,MCQ
131,"小明今年8岁了，这位活泼的小朋友特别喜欢看动画片。今天下午，他和爷爷正一起坐在客厅里看电视，恰巧电视上播着爷爷平日最爱的京剧节目，但小明一心想着赶紧换成动画片。

那么，小明应该怎么巧妙地劝说爷爷呢？

A.爷爷，我知道您一向珍爱京剧，不过我也想请您理解我对动画片的热爱。要是您觉得动画片不太合口味，我们可以过会儿就切回京剧频道。 
B.爷爷，我特别喜欢这部动画片，现在就迫不及待地想看它。您能不能陪我一起观赏一小段时间，顺便聊聊情节呢？ 
C.爷爷，不如我们一边吃着您准备的零食一边欣赏动画片，那样一来，整个观影体验肯定更有滋有味！ 
D.爷爷，我记得在上一集动画片里，就有不少融入传统元素的片段，它们既有趣又有教育意义，说不定您看了也会被吸引住。 
E.当赵涛在画室里不经意间看到一幅与杨梅惯有风格截然不同的作品时，他推测这也许是杨梅为适应市场需求而调整的创作方向。 
F.赵涛最初断定杨梅的绘画风格与他自己的大相径庭，但当他亲身观赏杨梅的新系列作品后，才恍然大悟两人的风格异常接近，甚至许多场景与他脑海中构想的画面几乎一模一样。 
G.赵涛偶然路过杨梅的画室，意外发现墙上密密麻麻地展示的全是他自己的画作，才明白杨梅其实一直是他作品的忠实拥护者。 
H.赵涛之前总听说杨梅专注于抽象画领域，然而他真正走进画室后，却讶异地看到她其实更精于肖像画的细腻表达。",D,MCQ
132,"张华同几位好友在公园绿地上展开一场热烈的足球比赛。结束哨声吹响后，他急急忙忙赶回家中，却意外将足球落在现场。他心里笃信球就在自己的背包中。晚餐时分，张华的哥哥关切地询问：“你的足球放哪儿了？带回来没？”张华不假思索地回应道：“它就在我的包里摆着呢。”

张华为何会给出这样的回答呢？

A. 张华是有意说谎的，因为他羞于承认自己忘了拿足球的事实。
B. 张华将足球遗忘后，迅速往家赶路。
C. 张华故意编造谎言，源于惧怕哥哥可能的责备。
D. 张华坚定地认为自己把足球收拾进了包里。
E. 我们不妨规划一些共同活动，譬如一同旅行或者……
F. 或者构思其他更具前瞻性的长远安排。
G. 不妨从简单入手开头，首先珍惜当下的美好时光。
H. 没有任何不当表达。",D,MCQ
133,"在大厅的一个角落，小李偶然间瞥见一个略显陈旧的储物柜，柜门上赫然贴着写有“海绵”字样的标签。出于好奇，他踮起脚尖试图窥探内部，却由于无法透视而一无所获。于是他小心翼翼地拉开柜门，映入眼帘的竟是一个圆润饱满、橙红色的南瓜，与标签描述的海绵天差地别。略带困惑的小李轻手轻脚合上柜门，并将它放回原位。没过多久，小王推门而入，一眼就被这个储物柜吸引了过去。

当小王伸手准备打开储物柜时，小李内心会预期里面藏着什么物品？

A. 南瓜。 
B. 灯泡。 
C. 记号笔。 
D. 海绵。 
E. 她记得。 
F. 她不记得。 
G. 小赵的导师因病无法出席。 
H. 小赵在展览上的主要竞争对手和她获得了同样的荣誉，这让她觉得自己的成就被淡化了。",A,MCQ
134,"周二下午，公司团队召开了一场关于项目进展的讨论会议。主管首先关切地询问了小王的项目进度情况。小王回应道：“这个项目正面临一些不小的挑战，暂时还找不到解决方案。”小李听后立即说道：“挑战向来难以避免，但我们一起努力就能应对。”主管随后表示：“很好，让我们转向关注下一个议题。”

如果有的话，哪句话在这场会议的情境中显得不太适宜？

A. 这个项目正面临一些不小的挑战 
B. 挑战向来难以避免，但我们一起努力就能应对 
C. 很好，让我们转向关注下一个议题 
D. 没有不合适的句子 
E. 爷爷，我很担心您的安全，假使我能陪您一同前去，我就会更安心 
F. 如果您最终决定独自出行，您能否告诉我您的旅行安排细节？这样我会更安心 
G. 爷爷，您还记不记得我们以前共同经历的美好旅行时光？我真心希望这次能和您一起去 
H. 我一直很想听您讲述您和您老朋友们之间的往事，假使我们一起去，您一路上都可以把这些故事细细讲给我听",C,MCQ
135,"在一个阳光明媚的周六下午，小张兴致勃勃地邀请了自己的好友小孙，共同前往一家刚刚开业的艺术影院，欣赏一部由新兴独立制作公司推出的电影作品。小孙仔细阅读了电影的宣传简介后，坦率地表示：“老实说，我对这部影片之前从未有所耳闻，男女主演也不熟悉，更不熟悉其背后的创作背景与艺术风格。”小张听后点头应和：“确实如此，这属于小众出品的微成本电影，它生动描绘了都市中青年一代的日常生活，正好为我们开启一段前所未有的观影新体验。”小孙听完欣然同意：“行啊，能够欣赏些新鲜类型的好电影的确能增长不少见识。”

如果有的话，哪句话不合适呢？

A. 老实说，我对这部影片之前从未有所耳闻，男女主演也不熟悉，更不熟悉其背后的创作背景与艺术风格。 
B. 确实如此，这属于小众出品的微成本电影，它生动描绘了都市中青年一代的日常生活，正好为我们开启一段前所未有的观影新体验。 
C. 行啊，能够欣赏些新鲜类型的好电影的确能增长不少见识。 
D. 没有不合适的句子。 
E. 恭喜你，小周，听说你刚升职了。 
F. 是的，谢谢，我非常开心。 
G. 恭喜你，小周，你的升职实至名归。 
H. 小郑看到他们的旅行照片可能会很开心，因为他也一直盼望去日本旅游呢。",D,MCQ
136,"张三与李四这对老友关系亲如手足。这一日，两人相约前往酒馆畅饮啤酒并尽情享用烤串，欢聚结束后，李四急切地表示要自行开车返回住处，张三立即上前劝阻。然而，李四却信心满满地提到自己在交警大队结识了熟人。此时，张三应当采取哪种劝说方式才能真正打动李四呢？

A. 坦诚流露内心的关切情绪，例如直说：“好兄弟，我真心担忧你的安全，绝不愿意因这场意外而失去你这多年的挚友。”
B. 提议暂且停歇一阵子，待到酒精作用完全消退后再开车回家。
C. 提醒李四注意，饮酒后驾驶车辆既是法律严厉禁止的行为，也极易引发潜在的交通事故。
D. 告知李四即便他在交警部门有熟人相熟，对方也不可能屡次为他开后门逃脱惩罚。
E. 李博士能够热情邀请王大爷亲临参观新技术耕作试验田，同时将产出成果与传统农耕方式做详细对比分析。
F. 李博士可以为这位老农展示权威农业学术研究报告，帮助其真正理解农耕技术革新对农业发展带来的深远影响。
G. 详细阐释新技术可大幅节省劳作时间，从而让王大爷获得更多自由自在的休闲时光。
H. 从传统农作文化根基出发，强调新技术实为对传统农耕智慧的传承与时代性升华。",A,MCQ
137,"小赵在一间宁静的书房中漫步时，无意间留意到了一个储物柜。柜门上贴有一张醒目的标签，清晰地标注着“胡萝卜”，但他无法观察到柜子内部的状况。在好奇心的驱使下，他缓缓拉开了柜门，赫然发现里面只挂着一件外套，却不见半根胡萝卜的影子。小赵迅速关好柜门，并将它重新摆正放回原地。就在这时，小钱轻快地踏入书房，一眼便聚焦在这个储物柜上。

小钱打开柜子之后，小赵预估柜中将存放着什么物品？

A. 领带。 
B. 胡萝卜。 
C. 计算器。 
D. 外套。 
E. 锁。 
F. 硬币。 
G. 瓶子。 
H. 盒子。",D,MCQ
138,"李娜是一位资深美食家，尤为钟情于洋葱散发出的那抹沁人心脾的清新芬芳。某日搭乘地铁通勤时，她身旁的一名乘客毫无预警地撕开洋葱味薯片包装袋，津津有味地大快朵颐，顿时整个车厢空间里蒸腾起一股浓烈刺鼻的气息。此情此景下，李娜暗自思忖：纵使我对洋葱的味道倾心不已，可惜这种气味通常不为大众所包容；而这位乘客的举动，显而易见疏忽了他人的体验感。那么，此刻李娜的情绪可能属于以下哪一项？

A. 反感。
B. 恼怒。
C. 激动。
D. 好奇。
E. 开心。
F. 困惑。
G. 愤怒。
H. 沉默。",A,MCQ
139,"林浩参加了一场激烈的学校足球比赛。比赛结束退场时，他把足球随手放在了更衣室的长凳上，然而，由于一时记忆模糊，他内心却笃定自己已经把球带回了家。晚饭时，爸爸随口问道：“林浩，你的足球放哪儿了？”林浩不假思索地回答：“在我书包里啊。”

请问，林浩为什么会有这样的回答？

A. 林浩故意隐瞒实情，担心爸爸责备他丢失足球。
B. 林浩的记忆出现偏差，不记得足球在书包里了。
C. 林浩想试探爸爸是否关注他东西的去向。
D. 林浩记错了位置，误以为带球回家了。
E. 故事里有人说了不符合实际情况的话。
F. 故事里没有任何不实或不当的言辞。
G. 担忧。
H. 开心。",D,MCQ
140,"小刚初入高中阶段，察觉父亲时常在无意中翻阅他的私人日记。为了维护个人隐私空间，小刚决心与父亲开诚布公地沟通一番。那么，小刚应如何有效地说服父亲呢？ 

A. 父亲，我由衷期盼您能信我，相信我能够自主作出恰当的决定。 
B. 您这种不经意间的行为让我略感困扰，不妨约定一个固定时间，我主动分享自己的想法与真实心情。 
C. 父亲，您这样做缺乏对我的基本尊重，我有权保护自己的隐私领域。 
D. 我尊重您的私密空间，衷心期待您能以同样的方式尊重我的隐私权利。 
E. 赵阳为李娜真心喜爱度假计划而欣喜不已，但高昂的开销造成经济压力，令他陷入深深的苦恼。 
F. 赵阳非常高兴李娜确实钟情于这个度假方案，然而计划中未充分兼顾他的兴趣偏好，这让他倍感烦恼。 
G. 赵阳由衷享受这次度假体验，却因李娜对目的地的期望过高而忧心忡忡，担忧后续计划难以达到类似水准。 
H. 赵阳十分喜爱此次假期，但因计划中忽略了他的兴趣和偏好细节，令他感到困扰不已。",B,MCQ
141,"张丽与室友李敏并肩参与了一场精彩纷呈的知识竞答赛事，在团队共同奋斗下，最终摘得总冠军桂冠，可仅有李敏登上个人荣誉榜单。赛后，张丽由衷地向李敏祝贺道：“这太令人欣喜了，衷心祝贺你的杰出表现！”然而，当天晚上回到宿舍后，她却对哥哥低语道：“我的内心实在感到失落。”那么，张丽为何会表现出如此既喜悦又伤感的复杂情绪呢？
 
A. 她欣喜于团队的集体胜利，却因自己未获个人名次而倍感沮丧。 
B. 她为李敏的荣誉成就由衷高兴，但忧心于旁人对她的负面评价，认为她逊于李敏。 
C. 她欢庆团队的整体登顶，却因李敏未认可自己的付出而黯然神伤。 
D. 她深为李敏上榜而雀跃，但又因自己未能跻身排名榜单而懊悔不已。 
E. 张丽顺利通过一项关键考试，却因紧张备考错过至友的生日庆典。 
F. 她收到期盼许久的珍贵礼物，却得知家人即将迁居另一城市。 
G. 张丽心爱的宠物安然归家令人宽慰，可随即被诊断为罹患重疾。 
H. 她喜获理想大学录取通知，却不得不与高中恋人挥泪告别。",A,MCQ
142,"小宇刚满六岁，正是活泼好动的年纪，而李娜作为他的母亲，期待通过引导他参与一些简单的家务活动，例如打扫地面或拖洗地板等日常清洁工作，既减轻自己的家务压力，又能从小培养小宇的基本生活自理能力。

为此，李娜该采取怎样的方式来温和劝说小宇，让他乐于接受并主动投入到这些家务劳动中呢？

A. 李娜先拿起小扫帚做示范，一边轻声说：“你看妈妈是这样把灰尘扫到簸箕里的。来，换你试试，好不好？咱们俩来比比谁扫得更干净。”
B. 李娜挑了一本《小熊帮妈妈做家务》的绘本，坐到小宇旁边温柔地讲故事：“你看小熊扫地扫得多认真！妈妈也希望你有一天像小熊一样能干。”
C. 李娜提出约定：“如果你把玩具都整理回盒子里，妈妈就多给你半小时游戏时间；要是没整理好，今晚就取消动画片。”
D. 李娜板着脸命令：“你已经六岁了，这些小事还做不好？马上去把地拖干净，不许磨蹭！”说完便转身去刷手机。
E. 开心。 
F. 担忧。 
G. 害怕。 
H. 生气。",A,MCQ
143,"小强正在农场闲逛时，无意间在牧场深处瞥见了一个半旧的保险箱。保险箱表面贴着一张小小的标签，清晰写着“记号笔”的字样，然而因为保险箱构造密闭，小强无论如何也窥探不到其中内容。怀着浓厚的兴趣，他动手打开了保险箱盖，赫然发现里面仅仅躺着一根色泽饱满的香蕉，压根儿找不到标签上所写的记号笔。带着一丝疑虑，小强迅速关好保险箱门，将其小心翼翼归位原位。与此同时，小美恰好踏入农场，一眼便锁定了这个醒目的保险箱。 

保险箱里应该有什么？
 
A. 一件舒适的运动衫。 
B. 一支记号笔。 
C. 一根新鲜的香蕉。 
D. 少许胡椒粉。 
E. 我琢磨着，我们能否共同筹划一些活动，像是旅行之类…… 
F. 或者设想更宏伟的未来规划。 
G. 我们不妨从简单的点滴开始，优先珍惜美好时光。 
H. 没有不恰当的句子。",B,MCQ
144,"小李和小张是同住一室的室友。在宿舍生活中，小李因沉迷游戏常常熬夜至深夜，相反，小张始终遵循规律作息，每日按时入眠。小张目睹小李如此透支健康，心生焦虑，渴望说服对方关注身体，减少游戏时间。

那么，小张应当如何有效地说服小李呢？

A. 小张可以委婉劝说小李尝试适当放松，逐渐养成规律的作息习惯。
B. 小张可以直接坦率地表露内心关心，并善意建议小李避免熬夜行为。
C. 小张能够主动邀请小李参与一些有益身心舒缓的活动，如加入瑜伽班或尝试冥想。
D. 小张可以以身作则，坚持健康作息方式，潜移默化地为小李树立正面榜样。
E. 小张可以在思考中提出，两人可以一起规划多样活动，比如组织一次短途旅行或其他安排。
F. 或者，小张可以协助制定更长期的合作计划，以促进共同目标。
G. 小张可以建议从小处开始，优先享受当前的轻松时光，奠定基础。
H. 没有不合适的句子。",B,MCQ
145,"今天是小琳的诞辰日，她的母亲决定送她一份惊喜，傍晚精心准备了小琳最喜欢的拉面。母亲秘密地叫来小琳最好的伙伴小萱，严肃地叮嘱道：“记住这个秘密，千万别告诉小琳。”小萱郑重地回应：“我知道了，我一定会保守这个秘密。”第二天，两人相约在公园玩耍时，小萱兴致勃勃地对小琳说：“来，咱们去玩跷跷板。”

在这个故事场景中，如果有哪一句话显得不太合适呢？

A. 记住这个秘密，千万别告诉小琳。 
B. 我知道了，我一定会保守这个秘密。 
C. 来，咱们去玩跷跷板。 
D. 没有不合适的句子。 
E. 知晓。 
F. 不知晓。 
G. 惊慌。 
H. 失望。",D,MCQ
146,"小王、小赵和小孙是三位小学学生，他们放学后常常结伴玩耍。这天，正当他们在公园荡秋千时，小王不经意间瞥见靠近他家的一棵结满苹果的大树。他随即从口袋中掏出糖果，分别递给小赵和小孙各一颗，然后指着树上红润的果实，脸上绽放出温暖的笑容，接着转头期待地注视着他们。见此情形，小赵和小孙先是朝苹果树方向望去，随后相视一笑，默契地点了点头。

小王为何要将糖果送给小赵和小孙，并微笑着指向自家附近的苹果树呢？

A. 小王乐于与好友分享糖果，示意苹果树是为了一同欣赏美丽的景致。
B. 小王想请小赵和小孙帮忙采摘苹果。
C. 小王希望引起他们对那处美景的注意，以便日后带同伴去游玩。
D. 小王打算邀请小赵和小孙去他家享用树上新鲜的苹果。
E. 骄傲。
F. 惊讶。
G. 尴尬。
H. 生气。",B,MCQ
