"mid","subid","standard_question","standard_answer"
"19","1","一条宽度为  \(a = {0.1}\mathrm{\;{mm}}\)  的狭缝，其后安置一个焦距为  \(f = {1}\mathrm{\;{m}}\)  的凸透镜。在透镜焦平面处放置一接收屏，采用波长  \(\lambda  = {546}\mathrm{\;{nm}}\) 的绿色平行光束垂直入射狭缝。试计算中央亮纹的宽度。 (结果以$ \mathrm{\;{mm}} $为单位，保留4位有效数字)"," 10.92"
"19","2","一条宽度为  \(a = {0.1}\mathrm{\;{mm}}\)  的狭缝，其后安置一个焦距为  \(f = {2}\mathrm{\;{m}}\)  的凸透镜。在透镜焦平面处放置一接收屏，采用波长  \(\lambda  = {546}\mathrm{\;{nm}}\) 的绿色平行光束垂直入射狭缝。试计算中央亮纹的宽度。 (结果以$ \mathrm{\;{mm}} $为单位，保留4位有效数字)"," 21.84"
"19","3","一条宽度为  \(a = {0.1}\mathrm{\;{mm}}\)  的狭缝，其后安置一个焦距为  \(f = {3}\mathrm{\;{m}}\)  的凸透镜。在透镜焦平面处放置一接收屏，采用波长  \(\lambda  = {546}\mathrm{\;{nm}}\) 的绿色平行光束垂直入射狭缝。试计算中央亮纹的宽度。 (结果以$ \mathrm{\;{mm}} $为单位，保留4位有效数字)"," 32.76"
"53","0","两个相同的密闭舱室通过一根绝热微管连通，初始压强 \( P_0 = 1 \) atm、相对湿度 50%、温度 100°C。已知 0°C 时水的饱和蒸气压为 4.6 mmHg。现将其中一个舱室置于 0°C 的冰浴中，求系统稳定后的总压强。 (结果以$ \mathrm{{mmHg}} $为单位，保留4位有效数字)","325.6"
"53","1","两个相同的密闭舱室通过一根绝热微管连通，初始压强 \( P_0 = 1 \) atm、相对湿度 50%、温度 100°C。已知 0°C 时水的饱和蒸气压为 4.6 mmHg。现将其中一个舱室置于 10°C 的冰浴中，求系统稳定后的总压强。 (结果保留5位有效数字)","389.21 "
"53","2","两个相同的密闭舱室通过一根绝热微管连通，初始压强 \( P_0 = 1 \) atm、相对湿度 50%、温度 100°C。已知 0°C 时水的饱和蒸气压为 4.6 mmHg。现将其中一个舱室置于 20°C 的冰浴中，求系统稳定后的总压强。 (结果保留5位有效数字)","397.54 "
"53","3","两个相同的密闭舱室通过一根绝热微管连通，初始压强 \( P_0 = 1 \) atm、相对湿度 50%、温度 100°C。已知 0°C 时水的饱和蒸气压为 4.6 mmHg。现将其中一个舱室置于5°C 的冰浴中，求系统稳定后的总压强。 (结果保留4位有效数字)","388.6 "
"36","0","在半导体器件制造中，n型硅衬底通常通过掺锑实现高杂质浓度。已知锑的电离能为 \( 0.039 \, \mathrm{eV} \)，在 \( 300 \, \mathrm{K} \) 时费米能级 \( E_F \) 位于导带底部以下 \( 0.026 \, \mathrm{eV} \) 处，计算锑的掺杂浓度。 (结果使用科学计数法，以$ {\mathrm{{cm}}}^{3} $为单位，保留3位有效数字)","4.07 \times 10^{19}"
"36","1","在半导体器件制造中，n型硅衬底通常通过掺锑实现高杂质浓度。已知锑的电离能为 \( 0.039 \, \mathrm{eV} \)，在 \( 300 \, \mathrm{K} \) 时费米能级 \( E_F \) 位于导带底部以下 \( 0.027 \, \mathrm{eV} \) 处，计算锑的掺杂浓度。 (结果使用科学计数法，以$ {\mathrm{{cm}}}^{3} $为单位，保留2位有效数字)","4.6 \times 10^{19}"
"36","2","在半导体器件制造中，n型硅衬底通常通过掺锑实现高杂质浓度。已知锑的电离能为 \( 0.039 \, \mathrm{eV} \)，在 \( 300 \, \mathrm{K} \) 时费米能级 \( E_F \) 位于导带底部以下 \( 0.028 \, \mathrm{eV} \) 处，计算锑的掺杂浓度。 (结果使用科学计数法，以$ {\mathrm{{cm}}}^{3} $为单位，保留2位有效数字)","2.4 \times 10^{19}"
"36","3","在半导体器件制造中，n型硅衬底通常通过掺锑实现高杂质浓度。已知锑的电离能为 \( 0.039 \, \mathrm{eV} \)，在 \( 300 \, \mathrm{K} \) 时费米能级 \( E_F \) 位于导带底部以下 \( 0.029 \, \mathrm{eV} \) 处，计算锑的掺杂浓度。 (结果使用科学计数法，以$ {\mathrm{{cm}}}^{3} $为单位，保留2位有效数字)","2.3 \times 10^{19}"
"78","0","假设地球被建模为一个密度均匀的理想球体，忽略空气阻力及自转效应。沿通过地心的直线挖掘一条隧道。已知地球半径为 \( R = 6.4 \times 10^{6} \) m。若一小物体从隧道入口处由静止自由释放，求其抵达隧道另一出口所需时间？ (结果以$ \mathrm{\;{min}} $为单位，保留3位有效数字)"," 42.3"
"78","1","假设某行星被建模为一个密度均匀的理想球体，忽略空气阻力及自转效应。沿通过球心的直线挖掘一条隧道。已知该行星半径为 \( R = 4.9 \times 10^{6} \) m，且拥有和地球一样的重力加速度。若一小物体从隧道入口处由静止自由释放，求其抵达隧道另一出口所需时间？ (结果以$ \mathrm{\;{min}} $为单位，保留2位有效数字)"," 37"
"78","2","假设某行星被建模为一个密度均匀的理想球体，忽略空气阻力及自转效应。沿通过球心的直线挖掘一条隧道。已知该行星半径为 \( R = 8.1 \times 10^{6} \) m，且拥有和地球一样的重力加速度。若一小物体从隧道入口处由静止自由释放，求其抵达隧道另一出口所需时间？ (结果以$ \mathrm{\;{min}} $为单位，保留3位有效数字)"," 47.8"
"78","3","假设某行星被建模为一个密度均匀的理想球体，忽略空气阻力及自转效应。沿通过球心的直线挖掘一条隧道。已知该行星半径为 \( R = 6.4 \times 10^{6} \) m，且中重力加速度是地球的一半。若一小物体从隧道入口处由静止自由释放，求其抵达隧道另一出口所需时间？ (结果以$ \mathrm{\;{min}} $为单位，保留3位有效数字)"," 52.3"
"99","0","一个质量为 \(0.1\,\mathrm{g}\) 的点电荷物体，带有 \(4 \times 10^{-4}\,\mathrm{C}\) 的电量，被安装在一根竖直的绝缘长棒上。该棒置于方向平行且均为水平的匀强电场和匀强磁场中，电场强度 \(E = 10\,\mathrm{N \cdot C^{-1}}\)，磁感应强度 \(B = 0.5\,\mathrm{T}\)。若物体与棒之间的滑动摩擦系数为 \(0.2\)，求物体沿棒下落的最大速率。 (结果以$ \mathrm{\;m}/\mathrm{s}  $为单位，保留2位有效数字)"," 15"
"99","1","一个质量为 \(0.2\,\mathrm{g}\) 的点电荷物体，带有 \(4 \times 10^{-4}\,\mathrm{C}\) 的电量，被安装在一根竖直的绝缘长棒上。该棒置于方向平行且均为水平的匀强电场和匀强磁场中，电场强度 \(E = 10\,\mathrm{N \cdot C^{-1}}\)，磁感应强度 \(B = 0.5\,\mathrm{T}\)。若物体与棒之间的滑动摩擦系数为 \(0.2\)，求物体沿棒下落的最大速率。 (结果以$ \mathrm{\;m}/\mathrm{s}  $为单位，保留2位有效数字)"," 30"
"99","2","一个质量为 \(0.3\,\mathrm{g}\) 的点电荷物体，带有 \(4 \times 10^{-4}\,\mathrm{C}\) 的电量，被安装在一根竖直的绝缘长棒上。该棒置于方向平行且均为水平的匀强电场和匀强磁场中，电场强度 \(E = 10\,\mathrm{N \cdot C^{-1}}\)，磁感应强度 \(B = 0.5\,\mathrm{T}\)。若物体与棒之间的滑动摩擦系数为 \(0.2\)，求物体沿棒下落的最大速率。 (结果以$ \mathrm{\;m}/\mathrm{s}  $为单位，保留2位有效数字)"," 45"
"99","3","一个质量为 \(0.4\,\mathrm{g}\) 的点电荷物体，带有 \(4 \times 10^{-4}\,\mathrm{C}\) 的电量，被安装在一根竖直的绝缘长棒上。该棒置于方向平行且均为水平的匀强电场和匀强磁场中，电场强度 \(E = 10\,\mathrm{N \cdot C^{-1}}\)，磁感应强度 \(B = 0.5\,\mathrm{T}\)。若物体与棒之间的滑动摩擦系数为 \(0.2\)，求物体沿棒下落的最大速率。 (结果以$ \mathrm{\;m}/\mathrm{s}  $为单位，保留2位有效数字)"," 60"
"91","0","一个线偏振平面波由自由空间斜入射到介质表面，该介质的相对介电常数为 \(\varepsilon_r = 3\)，相对磁导率为 \(\mu_r = 1\)。已知入射波电场矢量与入射平面成 \(45^\circ\) 角。问入射角取何值时，反射波中仅存在垂直极化分量？ (结果以$ { \circ $为单位，保留2位有效数字)"," 60"
"91","1","一个线偏振平面波由自由空间斜入射到介质表面，该介质的相对介电常数为 \(\varepsilon_r = 5\)，相对磁导率为 \(\mu_r = 1\)。已知入射波电场矢量与入射平面成 \(45^\circ\) 角。问入射角取何值时，反射波中仅存在垂直极化分量？ (结果以$ { \circ $为单位，保留4位有效数字)"," 65.91"
"91","2","一个线偏振平面波由自由空间斜入射到介质表面，该介质的相对介电常数为 \(\varepsilon_r = 6\)，相对磁导率为 \(\mu_r = 3\)。已知入射波电场矢量与入射平面成 \(45^\circ\) 角。问入射角取何值时，反射波中仅存在垂直极化分量？ (结果以$ { \circ $为单位，保留4位有效数字)"," 54.74"
"91","3","一个线偏振平面波由自由空间斜入射到介质表面，该介质的相对介电常数为 \(\varepsilon_r = 7\)，相对磁导率为 \(\mu_r = 4\)。已知入射波电场矢量与入射平面成 \(45^\circ\) 角。问入射角取何值时，反射波中仅存在垂直极化分量？ (结果以$ { \circ $为单位，保留4位有效数字)"," 52.97"
"43","0","一个 \( \mu^{-} \) 子被原子核捕获构成 \( \mu \) 原子，原子核视为静止。已知 \( \mu^{-} \) 子质量为电子质量的 207 倍，电荷量与电子相同。试求：该 \( \mu^{-} \) 的第一玻尔轨道半径。给定原子核质量数为 \( A \)，中子数 \( N \) 等于质子数 \( Z \)，氢原子第一玻尔半径 \( a_{0} = 0.529 \times 10^{-10} \) 米。 (结果使用科学计数法，保留3位有效数字)","5.11 \times 10^{-13}"
"43","1","一个 \( \mu^{-} \) 子被原子核捕获构成 \( \mu \) 原子，原子核视为静止。已知 \( \mu^{-} \) 子质量为电子质量的1 倍，电荷量与电子相同。试求：该 \( \mu^{-} \) 的第一玻尔轨道半径。给定原子核质量数为 \( A \)，中子数 \( N \) 等于质子数 \( Z \)，氢原子第一玻尔半径 \( a_{0} = 0.529 \times 10^{-10} \) 米。 (结果使用科学计数法，保留2位有效数字)","1.1 \times 10^{-13}"
"43","2","一个 \( \mu^{-} \) 子被原子核捕获构成 \( \mu \) 原子，原子核视为静止。已知 \( \mu^{-} \) 子质量为电子质量的 2 倍，电荷量与电子相同。试求：该 \( \mu^{-} \) 的第一玻尔轨道半径。给定原子核质量数为 \( A \)，中子数 \( N \) 等于质子数 \( Z \)，氢原子第一玻尔半径 \( a_{0} = 0.529 \times 10^{-10} \) 米。 (结果使用科学计数法，保留3位有效数字)","0.529 \times 10^{-13}"
"43","3","一个 \( \mu^{-} \) 子被原子核捕获构成 \( \mu \) 原子，原子核视为静止。已知 \( \mu^{-} \) 子质量为电子质量的 4 倍，电荷量与电子相同。试求：该 \( \mu^{-} \) 的第一玻尔轨道半径。给定原子核质量数为 \( A \)，中子数 \( N \) 等于质子数 \( Z \)，氢原子第一玻尔半径 \( a_{0} = 0.529 \times 10^{-10} \) 米。 (结果使用科学计数法，保留4位有效数字)","0.2645 \times 10^{-13}"
"47","0","一个空心螺线管长度为 50 cm，截面积为 \( 1 \mathrm{cm}^{2} \)，总匝数为 1000。忽略边缘效应。当 1 A 的稳恒电流通过该螺线管线圈时，其两端连接着 \( 1000 \Omega \) 的负载。若此稳恒电流瞬间中断，求流过负载电阻的总电荷量。 (结果使用科学计数法，以$ \mathrm{C} $为单位，保留4位有效数字)","2.513 \times 10^{-8}"
"47","1","一个空心螺线管长度为 50 cm，截面积为 \( 1 \mathrm{cm}^{2} \)，总匝数为 1000。忽略边缘效应。当 2 A 的稳恒电流通过该螺线管线圈时，其两端连接着 \( 1000 \Omega \) 的负载。若此稳恒电流瞬间中断，求流过负载电阻的总电荷量。 (结果使用科学计数法，以$ \mathrm{C} $为单位，保留4位有效数字)","5.026 \times 10^{-8}"
"47","2","一个空心螺线管长度为 50 cm，截面积为 \( 1 \mathrm{cm}^{2} \)，总匝数为 1000。忽略边缘效应。当 3 A 的稳恒电流通过该螺线管线圈时，其两端连接着 \( 1000 \Omega \) 的负载。若此稳恒电流瞬间中断，求流过负载电阻的总电荷量。 (结果使用科学计数法，以$ \mathrm{C} $为单位，保留4位有效数字)","7.539 \times 10^{-8}"
"47","3","一个空心螺线管长度为 50 cm，截面积为 \( 1 \mathrm{cm}^{2} \)，总匝数为 1000。忽略边缘效应。当 4A 的稳恒电流通过该螺线管线圈时，其两端连接着 \( 1000 \Omega \) 的负载。若此稳恒电流瞬间中断，求流过负载电阻的总电荷量。 (结果使用科学计数法，以$ \mathrm{C} $为单位，保留5位有效数字)","10.052 \times 10^{-8}"
"3","0","一个质量为 \( 1.5\,\mathrm{kg} \) 的质点以 \( 60\,\mathrm{m/s} \) 的初速度垂直向上抛出。质点所受空气阻力大小与其速率成正比，比例系数 \( k = 0.03\,\mathrm{N \cdot s / m} \)，即阻力可表示为 \( F_{\text{阻}} = kv \)。求质点上升到最大高度所需的时间。 (结果以$ \mathrm{\;s} $为单位，保留2位有效数字)"," 5.8"
"3","1","一个质量为 \( 3\,\mathrm{kg} \) 的质点以 \( 60\,\mathrm{m/s} \) 的初速度垂直向上抛出。质点所受空气阻力大小与其速率成正比，比例系数 \( k = 0.06\,\mathrm{N \cdot s / m} \)，即阻力可表示为 \( F_{\text{阻}} = kv \)。求质点上升到最大高度所需的时间。 (结果以$ \mathrm{\;s} $为单位，保留2位有效数字)"," 5.8"
"3","2","一个质量为 \( 750\,\mathrm{g} \) 的质点以 \( 60\,\mathrm{m/s} \) 的初速度垂直向上抛出。质点所受空气阻力大小与其速率成正比，比例系数 \( k = 0.015\,\mathrm{N \cdot s / m} \)，即阻力可表示为 \( F_{\text{阻}} = kv \)。求质点上升到最大高度所需的时间。 (结果以$ \mathrm{\;s} $为单位，保留2位有效数字)"," 5.8"
"3","3","一个质量为 \( 3.0\,\mathrm{kg} \) 的质点以 \( 60\,\mathrm{m/s} \) 的初速度垂直向上抛出。质点所受空气阻力大小与其速率成正比，比例系数 \( k = 0.03\,\mathrm{N \cdot s / m} \)，即阻力可表示为 \( F_{\text{阻}} = kv \)。求质点上升到最大高度所需的时间。 (结果以$ \mathrm{\;s} $为单位，保留3位有效数字)"," 2.97"
"4","0","一根长度为 \(2\,\text{m}\)、横截面积为 \(10^{-4}\,\text{m}^{2}\) 的管道中充满标准状态下的二氧化碳气体。其中50%的二氧化碳分子含有放射性同位素碳-14。在初始时刻，放射性分子的数密度从管道左端到右端呈线性减少，左端为最大值，右端为零。已知二氧化碳分子的有效碰撞直径为 \(d = 3.67 \times 10^{-10}\,\text{m}\)。在 \(t = 0\) 时，每秒有多少个放射性分子从右向左穿过管道中点处的横截面？ (结果使用科学计数法，以$ {\mathrm{\;s}}^{-1} $为单位，保留3位有效数字)","7.94 \times 10^{22}"
"4","1","一根长度为 \(2\,\text{m}\)、横截面积为 \(10^{-6}\,\text{m}^{2}\) 的管道中充满标准状态下的二氧化碳气体。其中50%的二氧化碳分子含有放射性同位素碳-14。在初始时刻，放射性分子的数密度从管道左端到右端呈线性减少，左端为最大值，右端为零。已知二氧化碳分子的有效碰撞直径为 \(d = 3.67 \times 10^{-10}\,\text{m}\)。在 \(t = 0\) 时，每秒有多少个放射性分子从右向左穿过管道中点处的横截面？ (结果使用科学计数法，以$ {\mathrm{\;s}}^{-1} $为单位，保留3位有效数字)","8.81 \times 10^{20}"
"4","2","一根长度为 \(4\,\text{m}\)、横截面积为 \(10^{-4}\,\text{m}^{2}\) 的管道中充满标准状态下的二氧化碳气体。其中50%的二氧化碳分子含有放射性同位素碳-14。在初始时刻，放射性分子的数密度从管道左端到右端呈线性减少，左端为最大值，右端为零。已知二氧化碳分子的有效碰撞直径为 \(d = 3.67 \times 10^{-10}\,\text{m}\)。在 \(t = 0\) 时，每秒有多少个放射性分子从右向左穿过管道中点处的横截面？ (结果使用科学计数法，以$ {\mathrm{\;s}}^{-1} $为单位，保留3位有效数字)","8.81 \times 10^{22}"
"4","3","一根长度为 \(3\,\text{m}\)、横截面积为 \(10^{-7}\,\text{m}^{2}\) 的管道中充满标准状态下的二氧化碳气体。其中50%的二氧化碳分子含有放射性同位素碳-14。在初始时刻，放射性分子的数密度从管道左端到右端呈线性减少，左端为最大值，右端为零。已知二氧化碳分子的有效碰撞直径为 \(d = 3.67 \times 10^{-10}\,\text{m}\)。在 \(t = 0\) 时，每秒有多少个放射性分子从右向左穿过管道中点处的横截面？ (结果使用科学计数法，以$ {\mathrm{\;s}}^{-1} $为单位，保留3位有效数字)","8.81 \times 10^{19}"
"81","0","空间探测器以 \( v = {0.8c} \) 的速率远离地球。当在地球参考系中测得距地球 \( {6.66} \times {10}^{8}\mathrm{\;{km}} \) 时，一束光信号由地球上的观察者向探测器发出。在地球参考系中计算探测器收到信号时的位置。 (结果使用科学计数法，以$ \mathrm{\;m} $为单位，保留3位有效数字)","3.33 \times 10^{12}"
"81","1","空间探测器以 \( v = {0.9c} \) 的速率远离地球。当在地球参考系中测得距地球 \( {6.66} \times {10}^{8}\mathrm{\;{km}} \) 时，一束光信号由地球上的观察者向探测器发出。在地球参考系中计算探测器收到信号时的位置。 (结果使用科学计数法，以$ \mathrm{\;m} $为单位，保留3位有效数字)","6.66 \times 10^{12}"
"81","2","空间探测器以 \( v = {0.6c} \) 的速率远离地球。当在地球参考系中测得距地球 \( {6.66} \times {10}^{8}\mathrm{\;{km}} \) 时，一束光信号由地球上的观察者向探测器发出。在地球参考系中计算探测器收到信号时的位置。 (结果使用科学计数法，以$ \mathrm{\;m} $为单位，保留4位有效数字)","1.665 \times 10^{12}"
"81","3","空间探测器以 \( v = {0.7c} \) 的速率远离地球。当在地球参考系中测得距地球 \( {6.66} \times {10}^{8}\mathrm{\;{km}} \) 时，一束光信号由地球上的观察者向探测器发出。在地球参考系中计算探测器收到信号时的位置。 (结果使用科学计数法，以$ \mathrm{\;m} $为单位，保留3位有效数字)","2.22 \times 10^{12}"
"33","0","某种材料对特定波长的 X 射线具有 \( 0.04 \, \mathrm{cm}^{2} \cdot \mathrm{g}^{-1} \) 的质量衰减系数，该材料的密度为 \( 2 \, \mathrm{g} \cdot \mathrm{cm}^{-3} \)。一束该 X 射线垂直入射并通过厚度为 \( 1 \, \mathrm{cm} \) 的该材料层后，其透射强度占原入射强度的百分数是多少？ (结果保留3位有效数字)"," 92.3"
"33","1","某种材料对特定波长的 X 射线具有 \( 0.08 \, \mathrm{cm}^{2} \cdot \mathrm{g}^{-1} \) 的质量衰减系数，该材料的密度为 \( 2 \, \mathrm{g} \cdot \mathrm{cm}^{-3} \)。一束该 X 射线垂直入射并通过厚度为 \( 1 \, \mathrm{cm} \) 的该材料层后，其透射强度占原入射强度的百分数是多少？ (结果保留3位有效数字)"," 85.2"
"33","2","某种材料对特定波长的 X 射线具有 \( 0.02 \, \mathrm{cm}^{2} \cdot \mathrm{g}^{-1} \) 的质量衰减系数，该材料的密度为 \(4 \, \mathrm{g} \cdot \mathrm{cm}^{-3} \)。一束该 X 射线垂直入射并通过厚度为 \( 1 \, \mathrm{cm} \) 的该材料层后，其透射强度占原入射强度的百分数是多少？ (结果保留3位有效数字)"," 92.3"
"33","3","某种材料对特定波长的 X 射线具有 \( 0.01 \, \mathrm{cm}^{2} \cdot \mathrm{g}^{-1} \) 的质量衰减系数，该材料的密度为 \( 8 \, \mathrm{g} \cdot \mathrm{cm}^{-3} \)。一束该 X 射线垂直入射并通过厚度为 \( 1 \, \mathrm{cm} \) 的该材料层后，其透射强度占原入射强度的百分数是多少？ (结果保留3位有效数字)"," 92.3"
"61","0","一个环形线圈的平均周长为 \( 0.5 \, \mathrm{m} \)，总匝数为 800。当导线中通过 \( 1 \, \mathrm{A} \) 电流时，实验测得环内磁感应强度 \( B = 0.5 \, \mathrm{T} \)。设磁场均匀，求环内磁场强度 \( H \)。 (结果以$ {\mathrm{\;A}/\mathrm{m}} $为单位，保留4位有效数字)"," 1600"
"61","1","一个环形线圈的平均周长为 \( 0.5 \, \mathrm{m} \)，总匝数为 900。当导线中通过 \( 1 \, \mathrm{A} \) 电流时，实验测得环内磁感应强度 \( B = 0.5 \, \mathrm{T} \)。设磁场均匀，求环内磁场强度 \( H \)。 (结果以$ {\mathrm{\;A}/\mathrm{m}} $为单位，保留4位有效数字)","1800"
"61","2","一个环形线圈的平均周长为 \( 0.5 \, \mathrm{m} \)，总匝数为 800。当导线中通过 \( 2 \, \mathrm{A} \) 电流时，实验测得环内磁感应强度 \( B = 0.5 \, \mathrm{T} \)。设磁场均匀，求环内磁场强度 \( H \)。 (结果以$ {\mathrm{\;A}/\mathrm{m}} $为单位，保留4位有效数字)","3200"
"61","3","一个环形线圈的平均周长为 \( 0.5 \, \mathrm{m} \)，总匝数为 700。当导线中通过 \( 2 \, \mathrm{A} \) 电流时，实验测得环内磁感应强度 \( B = 0.5 \, \mathrm{T} \)。设磁场均匀，求环内磁场强度 \( H \)。 (结果以$ {\mathrm{\;A}/\mathrm{m}} $为单位，保留4位有效数字)","2800"
"76","0","体积为 \( 1.0 \times 10^{-2} \, \text{m}^3 \) 的密闭容器中，装有质量为 100 g 的理想气体。若气体分子的方均根速率为 200 m/s，求气体的压强。 (结果使用科学计数法，以$ \mathrm{\;{Pa}} $为单位，保留3位有效数字)","1.33 \times 10^{5}"
"76","1","体积为 \( 2.0 \times 10^{-2} \, \text{m}^3 \) 的密闭容器中，装有质量为 100 g 的理想气体。若气体分子的方均根速率为 200 m/s，求气体的压强。 (结果使用科学计数法，以$ \mathrm{\;{Pa}} $为单位，保留3位有效数字)","6.67 \times 10^{4}"
"76","2","体积为 \( 0.5/ \times 10^{-2} \, \text{m}^3 \) 的密闭容器中，装有质量为 100 g 的理想气体。若气体分子的方均根速率为 200 m/s，求气体的压强。 (结果使用科学计数法，以$ \mathrm{\;{Pa}} $为单位，保留3位有效数字)","2.67 \times 10^{5}"
"76","3","体积为 \( 1.0 \times 10^{-2} \, \text{m}^3 \) 的密闭容器中，装有质量为200 g 的理想气体。若气体分子的方均根速率为 200 m/s，求气体的压强。 (结果使用科学计数法，以$ \mathrm{\;{Pa}} $为单位，保留3位有效数字)","2.67 \times 10^{5}"
"67","0","氢原子的基态轨道半径为 \( 0.0529  \mathrm{nm} \)（即玻尔半径）。若电子被一个电荷相同但质量为电子 207 倍的 μ 介子取代。求此新系统的基态半径。假设质子质量比\(\mu\)子、电子的质量都大得多. (结果以$ \mathrm{{pm}} $为单位，保留3位有效数字)"," 0.256"
"67","1","氢原子的基态轨道半径为 \( 0.0529  \mathrm{nm} \)（即玻尔半径）。若电子被一个电荷相同但质量为电子 3600 倍的 \(\tau\) 子取代。假设质子不动，不考虑自旋的情况下，求此新系统的基态半径。 (结果以$ \mathrm{{pm}} $为单位，保留3位有效数字)"," 0.0147"
"67","2","氢原子的基态轨道半径为 \( 0.0529  \mathrm{nm} \)（即玻尔半径）。若电子被一个电荷相同但质量为电子 273 倍的 \(\pi\) 介子取代。假设质子不动，不考虑自旋的情况下，求此新系统的基态半径。 (结果以$ \mathrm{{pm}} $为单位，保留3位有效数字)"," 0.194"
"67","3","氢原子的基态轨道半径为 \( 0.0529  \mathrm{nm} \)（即玻尔半径）。若电子被一个电荷相同但质量为电子 967 倍的 \(\K\) 介子取代。假设质子不动，不考虑自旋的情况下，求此新系统的基态半径。 (结果以$ \mathrm{{pm}} $为单位，保留3位有效数字)"," 0.0547"
"9","0","在康普顿效应实验中，单色 X 射线以 90 度散射角被散射后，散射 X 射线的波长为 0.01243 纳米，计算入射 X 射线的波长。 (结果以$ \mathrm{\;{nm}} $为单位，保留3位有效数字)"," 0.0100"
"9","1","在康普顿效应实验中，单色 X 射线以 90 度散射角被散射后，散射 X 射线的波长为 0.01 纳米，计算入射 X 射线的波长。 (结果以$ \mathrm{\;{nm}} $为单位，保留3位有效数字)"," 0.00757"
"9","2","在康普顿效应实验中，单色 X 射线以 90 度散射角被散射后，散射 X 射线的波长为 0.02243 纳米，计算入射 X 射线的波长。 (结果以$ \mathrm{\;{nm}} $为单位，保留3位有效数字)","  0.0200"
"9","3","在康普顿效应实验中，单色 X 射线以 90 度散射角被散射后，散射 X 射线的波长为 0.33243 纳米，计算入射 X 射线的波长。 (结果以$ \mathrm{\;{nm}} $为单位，保留4位有效数字)","  0.3300"
"48","0","在一大型汞槽中垂直放置一根玻璃管，玻璃管上端封闭、下端开口。已知槽内汞液面以上玻璃管的长度 \( l = {76}\mathrm{\;{cm}} \)，管内密封有 \( n = {1.0} \times  {10}^{-3}\mathrm{\;{mol}} \) 的空气。保持汞槽和玻璃管静止，缓慢降低玻璃管内空气的温度 \( {10}^{ \circ  }\mathrm{C} \)。求此过程中管内空气释放的热量。已知外部大气压强为76 cmHg，每摩尔空气的内能 \( U = c_V T \)，其中 \( T \) 为绝对温度，常量 \( c_V = 20.5\mathrm{\;J \cdot mol^{-1} \cdot K^{-1}} \)，普适气体常量 \( R = 8.31\mathrm{\;J \cdot mol^{-1} \cdot K^{-1}} \)。 (结果以$ \mathrm{\;J}  $为单位，保留5位有效数字)","- 240.66"
"48","1","在一大型汞槽中垂直放置一根玻璃管，玻璃管上端封闭、下端开口。已知槽内汞液面以上玻璃管的长度 \( l = {760}\mathrm{\;{cm}} \)，管内密封有 \( n = {1.0} \times  {10}^{-3}\mathrm{\;{mol}} \) 的空气。保持汞槽和玻璃管静止，缓慢降低玻璃管内空气的温度 \( {10}^{ \circ  }\mathrm{C} \)。求此过程中管内空气释放的热量。已知外部大气压强为76 cmHg，每摩尔空气的内能 \( U = c_V T \)，其中 \( T \) 为绝对温度，常量 \( c_V = 20.5\mathrm{\;J \cdot mol^{-1} \cdot K^{-1}} \)，普适气体常量 \( R = 8.31\mathrm{\;J \cdot mol^{-1} \cdot K^{-1}} \)。 (结果以$ \mathrm{J} $为单位，保留3位有效数字)","-0.205"
"48","2","在一大型汞槽中垂直放置一根玻璃管，玻璃管上端封闭、下端开口。已知槽内汞液面以上玻璃管的长度 \( l = {76}\mathrm{\;{cm}} \)，管内密封有 \( n = {1.0} \times  {10}^{-3}\mathrm{\;{mol}} \) 的空气。保持汞槽和玻璃管静止，缓慢降低玻璃管内空气的温度 \( {20}^{ \circ  }\mathrm{C} \)。求此过程中管内空气释放的热量。已知外部大气压强为76 cmHg，每摩尔空气的内能 \( U = c_V T \)，其中 \( T \) 为绝对温度，常量 \( c_V = 20.5\mathrm{\;J \cdot mol^{-1} \cdot K^{-1}} \)，普适气体常量 \( R = 8.31\mathrm{\;J \cdot mol^{-1} \cdot K^{-1}} \)。 (结果以$ \mathrm{J} $为单位，保留3位有效数字)","-0.243"
"48","3","在一大型汞槽中垂直放置一根玻璃管，玻璃管上端封闭、下端开口。已知槽内汞液面以上玻璃管的长度 \( l = {7.6}\mathrm{\;{cm}} \)，管内密封有 \( n = {1.0} \times  {10}^{-3}\mathrm{\;{mol}} \) 的空气。保持汞槽和玻璃管静止，缓慢降低玻璃管内空气的温度 \( {10}^{ \circ  }\mathrm{C} \)。求此过程中管内空气释放的热量。已知外部大气压强为76 cmHg，每摩尔空气的内能 \( U = c_V T \)，其中 \( T \) 为绝对温度，常量 \( c_V = 20.5\mathrm{\;J \cdot mol^{-1} \cdot K^{-1}} \)，普适气体常量 \( R = 8.31\mathrm{\;J \cdot mol^{-1} \cdot K^{-1}} \)。 (结果以$ \mathrm{J} $为单位，保留3位有效数字)","-0.122"
"17","0","当黑体温度升高时，其单色辐出度峰值对应的波长从 \( 0.69 \, \mu \text{m} \) 移动到 \( 0.50 \, \mu \text{m} \)。总辐射出射度增加了多少倍？ (结果以$ {\mathrm{B}} $为单位，保留3位有效数字)"," 3.63"
"17","1","当黑体温度升高时，其单色辐出度峰值对应的波长从 \( 0.8 \, \mu \text{m} \) 移动到 \( 0.50 \, \mu \text{m} \)。总辐射出射度增加了多少倍？ (结果以$ {\mathrm{B}} $为单位，保留3位有效数字)"," 6.55"
